"INDEX","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","2051","2052","2053","2054","2055","2056","2057","2058","2059","2060"
49780,10.7959730051704,10.8245737016399,9.99903086468485,10.6050619980919,10.5824846829747,10.3892146259061,10.459384080652,10.4185004269899,10.3738939065197,10.8594002163773,10.1168627756249,10.2679259220063,10.4641071182804,10.5333670332643,10.2040991553293,10.2490933814192,10.48677123797,10.409041619118,10.6794119491799,10.362844934831,10.5901118173251,10.6496223540798,10.4085594373275,10.2844499863124,10.2385337491912,10.361358103823,10.8511023259178,10.7980410984767,10.968829421772,10.5758653193121,10.7354004695969,10.8312304047324,10.4312855357812,10.6014005350665,10.6959644483217,10.9140800638847,11.3333996511244,11.1604856917882,11.1077938252232,10.7065684265176,10.5607531001171,10.5921891496974,10.8968834438422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
49781,7.99790923447684,8.00423956543718,7.29633992724213,7.75725004827365,7.84572357809866,7.66881702037409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
50494,57.6295830660963,57.3879857230439,56.7833852874598,56.6420167175624,57.0360898644579,56.7349767701625,55.0888711057761,56.2329463818006,60.1610267256619,59.4465616588398,60.6393303088671,59.7896141728306,60.4526173994331,59.1012228493425,59.4018028148846,60.141304242607,60.9900712413956,61.2773929855617,61.3376519442685,61.6524529232329,62.396629742126,62.1096924405835,61.5479067990717,61.455549610295,62.9443587370712,61.6029794941032,65.3334142226621,64.1519716747366,64.387043331668,61.7263244545688,63.4737172587311,63.1003175343138,62.7713708797282,65.0984174160161,63.661242992477,64.8557731107802,65.5336282141517,65.7954864087351,67.1990150475877,65.4762009698868,67.5521159492598,63.6728944109152,64.2057899325052,65.4831649281431,65.4577979434558,67.3195894567502,66.5745457362329,63.9879640421253,65.264037981631,60.8036952522151,59.9658567875218,58.8044096999288,58.9186235561595,56.7174882547937,58.9459123863812,59.3758494916976,59.3400931114484,58.8747283154857,57.7836627287218,58.0929648409981,58.293530831127,57.365655031164,56.1234780543109,55.2401213909401,51.0354575126379,0,0,0,0,0,NA
50494,57.6295830660963,57.3879857230439,56.7833852874598,56.6420167175624,57.0360898644579,56.7349767701625,55.0888711057761,56.2329463818006,60.1610267256619,59.4465616588398,60.6393303088671,59.7896141728306,60.4526173994331,59.1012228493425,59.4018028148846,60.141304242607,60.9900712413956,61.2773929855617,61.3376519442685,61.6524529232329,62.396629742126,62.1096924405835,61.5479067990717,61.455549610295,62.9443587370712,61.6029794941032,65.3334142226621,64.1519716747366,64.387043331668,61.7263244545688,63.4737172587311,63.1003175343138,62.7713708797282,65.0984174160161,63.661242992477,64.8557731107802,65.5336282141517,65.7954864087351,67.1990150475877,65.4762009698868,67.5521159492598,63.6728944109152,64.2057899325052,65.4831649281431,65.4577979434558,67.3195894567502,66.5745457362329,63.9879640421253,65.264037981631,60.8036952522151,59.9658567875218,58.8044096999288,58.9186235561595,56.7174882547937,58.9459123863812,59.3758494916976,59.3400931114484,58.8747283154857,57.7836627287218,58.0929648409981,58.293530831127,57.365655031164,56.1234780543109,55.2401213909401,51.0354575126379,0,0,0,0,0,NA
50494,57.6295830660963,57.3879857230439,56.7833852874598,56.6420167175624,57.0360898644579,56.7349767701625,55.0888711057761,56.2329463818006,60.1610267256619,59.4465616588398,60.6393303088671,59.7896141728306,60.4526173994331,59.1012228493425,59.4018028148846,60.141304242607,60.9900712413956,61.2773929855617,61.3376519442685,61.6524529232329,62.396629742126,62.1096924405835,61.5479067990717,61.455549610295,62.9443587370712,61.6029794941032,65.3334142226621,64.1519716747366,64.387043331668,61.7263244545688,63.4737172587311,63.1003175343138,62.7713708797282,65.0984174160161,63.661242992477,64.8557731107802,65.5336282141517,65.7954864087351,67.1990150475877,65.4762009698868,67.5521159492598,63.6728944109152,64.2057899325052,65.4831649281431,65.4577979434558,67.3195894567502,66.5745457362329,63.9879640421253,65.264037981631,60.8036952522151,59.9658567875218,58.8044096999288,58.9186235561595,56.7174882547937,58.9459123863812,59.3758494916976,59.3400931114484,58.8747283154857,57.7836627287218,58.0929648409981,58.293530831127,57.365655031164,56.1234780543109,55.2401213909401,51.0354575126379,0,0,0,0,0,NA
50494,57.6295830660963,57.3879857230439,56.7833852874598,56.6420167175624,57.0360898644579,56.7349767701625,55.0888711057761,56.2329463818006,60.1610267256619,59.4465616588398,60.6393303088671,59.7896141728306,60.4526173994331,59.1012228493425,59.4018028148846,60.141304242607,60.9900712413956,61.2773929855617,61.3376519442685,61.6524529232329,62.396629742126,62.1096924405835,61.5479067990717,61.455549610295,62.9443587370712,61.6029794941032,65.3334142226621,64.1519716747366,64.387043331668,61.7263244545688,63.4737172587311,63.1003175343138,62.7713708797282,65.0984174160161,63.661242992477,64.8557731107802,65.5336282141517,65.7954864087351,67.1990150475877,65.4762009698868,67.5521159492598,63.6728944109152,64.2057899325052,65.4831649281431,65.4577979434558,67.3195894567502,66.5745457362329,63.9879640421253,65.264037981631,60.8036952522151,59.9658567875218,58.8044096999288,58.9186235561595,56.7174882547937,58.9459123863812,59.3758494916976,59.3400931114484,58.8747283154857,57.7836627287218,58.0929648409981,58.293530831127,57.365655031164,56.1234780543109,55.2401213909401,51.0354575126379,0,0,0,0,0,NA
50495,52.1736018347433,51.6913008031974,51.1994117477666,51.4736632852776,50.7654492940122,50.1230244317403,45.0490618848406,50.01725089245,52.9913550912272,53.1255360101464,54.3702423758149,53.4377591549386,53.1647400494003,53.5599673335936,53.8028076218397,54.4917617302079,55.3121660335985,56.4484843646863,55.626904957803,55.9763822462862,56.7093318356686,56.4607507190851,56.1855346386659,56.2752171464552,57.1831707157504,56.469853350952,59.6270843418037,58.6894225749591,59.1366210510365,56.6600104608413,57.9088435888374,57.9414175214827,57.6449792583264,59.8383545097495,58.8018958355416,59.6232655771062,60.2856406107167,60.69892376605,61.8487068410131,60.2704565378493,61.6758650562053,58.6900764768705,58.6331218010795,60.1111771445168,54.9613329208625,61.2702434561187,60.9698178373544,59.0511273001095,60.9457704284427,58.3719398245674,58.3094205452138,57.2125709119922,56.0960203762063,54.2687273796549,56.7206212995836,57.326545711855,57.2423406652705,56.9585059549141,55.8987730589924,56.3986437293523,56.8847405447498,55.7577658106073,54.3793833271558,52.9727039971232,50.912105848794,54.0559186397669,52.2171907090125,53.263815405792,34.3802105084865,42.1188774472834,NA
50496,44.3907477211413,44.9468489809173,44.6658120295152,44.9765871847299,44.0416923190491,41.7655113155026,43.6883572148582,41.6431727461052,39.4822542305896,42.7516605462894,42.1628437645519,42.6772554961351,42.625224884691,43.0660837867046,42.5417608556142,43.1291313638317,43.9984113416244,44.4866313945957,44.4221640061275,44.4431758636678,44.7593245082206,45.0945979613551,44.4864309244601,44.4910730501812,44.8617007122655,44.7534378127601,47.0354386940629,46.375603610781,46.538992319675,44.9870121449173,45.6809074259956,46.1600154636002,45.3991592198192,46.6786744081179,46.2235821186221,47.3186649197452,48.102782969948,48.0236284164289,48.726351398565,47.5710851833724,47.5551415210146,46.6189838797061,46.9843166601345,47.601742499824,35.0429838662817,43.066194804282,44.9085116194478,43.6860502084114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
50497,54.6270255359889,56.3000206527916,55.9210636779249,56.089786385132,54.5895772244008,53.9624018070275,52.5503599738504,50.1174902181929,50.8961250136717,52.2708437977333,51.1648892086302,51.6850200143256,51.5452876926452,52.0163638162123,51.3434362274652,51.9266916841907,52.9010609782777,53.0078304768166,53.4286293944827,53.3116338534273,53.6587914442329,53.791246728043,53.3779651564307,53.3914636253087,53.6855199573996,53.7822768560657,55.7969535163071,55.8036214656405,55.7829781803317,53.6477064429021,54.787388464833,55.2807367137965,54.5946613367875,55.5797153039493,55.5557767964305,56.6840913136747,57.5765143555025,57.5266779356343,58.4958415026481,56.9382006451539,57.7678105436895,56.0226462908453,56.5700773017785,57.2583824757896,56.5715507663761,57.8467525388193,58.5923982219926,55.7919323479533,57.48469467319,54.0083687215281,36.0565711197848,43.4782304914021,44.6957939046913,45.6242715916696,50.0255551790078,51.937122637091,52.3076619262619,52.9472770839041,52.5760984550238,52.3758969141918,52.1046052809806,52.8174846027129,52.0453436362555,51.1595857691018,50.9978029115082,52.0345553299739,51.0742238363703,52.5087883775799,49.9646247463993,52.9211814683258,NA
50497,54.6270255359889,56.3000206527916,55.9210636779249,56.089786385132,54.5895772244008,53.9624018070275,52.5503599738504,50.1174902181929,50.8961250136717,52.2708437977333,51.1648892086302,51.6850200143256,51.5452876926452,52.0163638162123,51.3434362274652,51.9266916841907,52.9010609782777,53.0078304768166,53.4286293944827,53.3116338534273,53.6587914442329,53.791246728043,53.3779651564307,53.3914636253087,53.6855199573996,53.7822768560657,55.7969535163071,55.8036214656405,55.7829781803317,53.6477064429021,54.787388464833,55.2807367137965,54.5946613367875,55.5797153039493,55.5557767964305,56.6840913136747,57.5765143555025,57.5266779356343,58.4958415026481,56.9382006451539,57.7678105436895,56.0226462908453,56.5700773017785,57.2583824757896,56.5715507663761,57.8467525388193,58.5923982219926,55.7919323479533,57.48469467319,54.0083687215281,36.0565711197848,43.4782304914021,44.6957939046913,45.6242715916696,50.0255551790078,51.937122637091,52.3076619262619,52.9472770839041,52.5760984550238,52.3758969141918,52.1046052809806,52.8174846027129,52.0453436362555,51.1595857691018,50.9978029115082,52.0345553299739,51.0742238363703,52.5087883775799,49.9646247463993,52.9211814683258,NA
