EEZID,CellID 
645,11996
645,11997
645,11998
645,11999
645,12000
645,12711
645,12712
645,12713
645,12714
645,12715
645,12716
645,12717
645,12718
645,12719
645,12720
645,12721
645,12722
645,12723
645,12724
645,12725
645,12726
645,12727
645,12728
645,12729
645,12730
645,12731
912,12732
645,12733
744,13342
744,13343
744,13344
744,13345
744,13346
744,13348
744,13349
744,13350
744,13351
744,13352
744,13353
744,13354
744,13355
744,13356
744,13357
744,13358
645,13408
645,13409
645,13410
645,13411
645,13412
645,13413
645,13414
645,13415
645,13416
645,13417
645,13418
645,13419
645,13420
645,13421
645,13422
645,13423
645,13428
645,13429
645,13430
645,13431
645,13432
645,13433
645,13434
645,13435
645,13436
645,13437
645,13438
645,13439
645,13440
645,13441
645,13442
645,13443
645,13444
645,13445
645,13446
645,13447
645,13448
645,13449
645,13451
645,13452
645,13453
744,14051
744,14052
744,14053
744,14054
744,14055
744,14056
744,14057
744,14058
744,14059
744,14060
744,14061
744,14062
744,14063
744,14064
744,14065
744,14066
744,14067
744,14068
744,14069
744,14070
744,14071
744,14072
744,14073
744,14074
744,14075
744,14076
744,14077
744,14078
744,14079
744,14080
744,14102
744,14103
744,14104
744,14105
744,14106
645,14128
645,14129
645,14130
645,14131
645,14132
645,14133
645,14134
645,14135
645,14136
645,14137
645,14138
645,14139
645,14140
645,14141
645,14142
645,14143
645,14144
645,14145
645,14146
645,14147
645,14148
645,14149
645,14150
645,14151
645,14152
645,14153
645,14154
645,14155
645,14156
645,14157
645,14158
645,14159
645,14160
645,14161
645,14162
744,14767
744,14768
744,14769
744,14770
744,14771
744,14772
744,14773
744,14774
744,14775
744,14776
744,14777
744,14778
744,14779
744,14780
744,14781
744,14782
744,14783
744,14784
744,14785
744,14786
744,14787
744,14788
744,14789
744,14790
744,14791
744,14792
744,14793
744,14794
744,14795
744,14796
744,14797
744,14798
744,14799
744,14800
744,14801
744,14802
744,14803
744,14804
744,14812
744,14813
744,14814
744,14815
744,14816
744,14817
744,14818
744,14819
744,14820
744,14821
744,14822
744,14823
744,14824
744,14825
744,14826
744,14827
744,14828
744,14829
744,14830
645,14850
645,14851
645,14852
645,14853
645,14854
645,14855
645,14856
645,14857
645,14858
645,14859
645,14860
645,14861
645,14862
645,14863
645,14864
645,14865
645,14866
645,14867
645,14868
645,14869
645,14870
645,14871
645,14872
645,14873
645,14874
645,14875
645,14876
645,14877
645,14878
645,14879
645,14880
645,14881
744,15481
744,15482
744,15483
744,15484
744,15485
744,15486
744,15487
744,15488
744,15489
744,15490
744,15491
744,15492
744,15493
744,15494
744,15495
744,15496
744,15497
744,15498
744,15499
744,15500
744,15501
744,15502
744,15503
744,15504
744,15505
744,15507
744,15508
744,15509
744,15511
744,15512
744,15513
744,15516
744,15517
744,15518
744,15519
744,15520
744,15521
744,15522
744,15523
744,15524
744,15525
744,15526
744,15527
744,15528
744,15529
744,15530
744,15531
744,15532
744,15533
744,15534
744,15535
744,15536
744,15537
744,15538
744,15539
744,15540
744,15541
744,15542
744,15543
744,15544
744,15545
744,15546
744,15547
744,15548
744,15549
744,15550
645,15551
744,15551
645,15552
744,15552
645,15553
744,15553
645,15554
645,15555
645,15556
645,15557
645,15558
645,15559
645,15560
645,15561
645,15562
645,15563
645,15564
645,15565
645,15566
645,15567
645,15568
645,15569
645,15570
645,15571
645,15572
645,15573
645,15574
645,15575
645,15576
645,15577
645,15578
645,15579
645,15580
645,15581
645,15582
645,15583
645,15584
645,15585
645,15586
645,15587
645,15588
645,15589
645,15590
645,15591
645,15592
645,15593
645,15594
645,15595
645,15596
645,15597
645,15598
645,15599
645,15600
645,15601
924,16049
924,16050
924,16051
744,16197
744,16198
744,16199
744,16200
744,16201
744,16202
744,16203
744,16204
744,16205
744,16206
744,16207
744,16208
744,16209
744,16210
744,16211
744,16212
744,16213
744,16214
744,16215
744,16216
744,16217
744,16218
744,16219
744,16220
744,16221
744,16222
744,16223
744,16224
744,16225
744,16226
744,16227
744,16233
744,16234
744,16239
744,16240
744,16241
744,16242
744,16243
744,16244
744,16245
744,16246
744,16247
744,16248
744,16249
744,16250
744,16251
744,16252
744,16253
744,16254
744,16255
744,16256
744,16257
744,16258
744,16259
744,16260
744,16261
744,16262
744,16263
744,16264
744,16265
744,16266
744,16267
744,16268
744,16269
744,16270
744,16271
744,16272
645,16273
744,16273
645,16274
744,16274
645,16275
744,16275
645,16276
744,16276
645,16277
645,16278
645,16279
645,16280
645,16281
645,16282
645,16283
645,16284
645,16285
645,16286
645,16287
645,16288
645,16289
645,16290
645,16291
645,16292
645,16293
645,16294
645,16295
645,16296
645,16297
645,16298
645,16299
645,16300
645,16301
645,16302
645,16303
645,16304
645,16305
645,16306
645,16307
645,16308
645,16309
645,16310
645,16311
645,16312
645,16313
645,16314
645,16315
645,16316
645,16317
645,16318
645,16319
924,16768
924,16769
924,16770
926,16770
924,16771
926,16771
304,16772
304,16772
924,16772
926,16772
304,16773
