"","INDEX","X2000","X2087","change","EEZID"
"219",91567,22,19,-3,945
"220",91568,22,19,-3,945
"221",91569,22,20,-2,945
"222",91570,25,22,-3,945
"223",91571,24,17,-7,945
"224",91572,23,16,-7,945
"225",91573,111,109,-2,945
"226",91574,111,109,-2,945
"227",91575,120,116,-4,945
"228",91576,107,105,-2,945
"229",91578,96,93,-3,945
"230",91579,96,94,-2,945
"231",91580,32,26,-6,945
"232",91581,127,133,6,945
"233",91582,122,129,7,945
"234",92280,18,19,1,945
"235",92281,20,19,-1,945
"236",92282,20,19,-1,945
"237",92283,20,19,-1,945
"238",92284,20,19,-1,945
"239",92285,21,19,-2,945
"240",92286,22,19,-3,945
"241",92287,22,19,-3,945
"242",92288,22,19,-3,945
"243",92289,21,19,-2,945
"244",92290,21,19,-2,945
"245",92291,17,15,-2,945
"246",92292,18,15,-3,945
"247",92293,33,28,-5,945
"248",92294,74,70,-4,945
"249",92295,119,113,-6,945
"250",92296,116,110,-6,945
"251",92298,124,121,-3,945
"252",92299,129,125,-4,945
"253",92300,32,28,-4,945
"254",92301,98,99,1,945
"255",92302,121,118,-3,945
"256",92303,75,70,-5,945
"257",93002,23,22,-1,945
"258",93003,20,19,-1,945
"259",93004,20,19,-1,945
"260",93005,20,19,-1,945
"261",93006,21,19,-2,945
"262",93007,22,19,-3,945
"263",93008,23,20,-3,945
"264",93009,22,20,-2,945
"265",93010,21,19,-2,945
"266",93011,17,14,-3,945
"267",93012,17,15,-2,945
"268",93013,24,19,-5,945
"269",93014,69,66,-3,945
"270",93015,108,100,-8,945
"271",93016,104,97,-7,945
"272",93019,78,77,-1,945
"273",93020,79,78,-1,945
"274",93021,20,18,-2,945
"275",93022,124,121,-3,945
"276",93023,123,120,-3,945
"277",93024,116,115,-1,945
"278",93722,20,19,-1,945
"279",93723,20,19,-1,945
"280",93724,20,19,-1,945
"281",93725,20,19,-1,945
"282",93726,21,20,-1,945
"283",93727,21,20,-1,945
"284",93728,21,20,-1,945
"285",93729,22,17,-5,945
"286",93730,21,15,-6,945
"287",93731,21,15,-6,945
"288",93732,22,16,-6,945
"289",93733,22,19,-3,945
"290",93734,26,21,-5,945
"291",93735,81,73,-8,945
"292",93736,119,113,-6,945
"293",93737,115,110,-5,945
"294",93739,117,118,1,945
"295",93740,120,120,0,945
"296",93741,42,40,-2,945
"297",93742,26,23,-3,945
"298",93743,86,79,-7,945
"299",93744,124,119,-5,945
"300",93745,109,105,-4,945
"301",94442,20,19,-1,945
"302",94443,20,19,-1,945
"303",94444,20,19,-1,945
"304",94445,20,19,-1,945
"305",94446,20,19,-1,945
"306",94447,20,19,-1,945
"307",94448,21,20,-1,945
"308",94449,22,16,-6,945
"309",94450,21,15,-6,945
"310",94451,21,15,-6,945
"311",94452,22,15,-7,945
"312",94453,22,19,-3,945
"313",94454,22,19,-3,945
"314",94455,27,25,-2,945
"315",94456,81,67,-14,945
"316",94457,117,98,-19,945
"317",94458,116,97,-19,945
"318",94459,115,111,-4,945
"319",94460,116,113,-3,945
"320",94461,116,111,-5,945
"321",94462,42,42,0,945
"322",94463,27,24,-3,945
"323",94464,103,100,-3,945
"324",94465,115,113,-2,945
"325",94466,109,107,-2,945
"326",95162,20,19,-1,945
"327",95163,20,19,-1,945
"328",95164,20,19,-1,945
"329",95165,19,19,0,945
"330",95166,19,19,0,945
"331",95167,20,19,-1,945
"332",95168,20,19,-1,945
"333",95169,21,13,-8,945
"334",95170,21,13,-8,945
"335",95171,21,17,-4,945
"336",95172,21,17,-4,945
"337",95173,21,19,-2,945
"338",95174,22,20,-2,945
"339",95175,22,19,-3,945
"340",95176,61,48,-13,945
"341",95177,70,50,-20,945
"342",95178,69,49,-20,945
"343",95179,113,95,-18,945
"344",95180,108,104,-4,945
"345",95181,113,109,-4,945
"346",95182,112,105,-7,945
"347",95183,22,19,-3,945
"348",95184,28,26,-2,945
"349",95185,86,80,-6,945
"350",95186,112,112,0,945
"351",95187,102,100,-2,945
"352",95882,20,19,-1,945
"353",95883,20,19,-1,945
"354",95884,20,19,-1,945
"355",95885,19,19,0,945
"356",95886,19,19,0,945
"357",95887,20,19,-1,945
"358",95888,20,18,-2,945
"359",95889,20,13,-7,945
"360",95890,21,13,-8,945
"361",95891,21,17,-4,945
"362",95892,21,17,-4,945
"363",95893,21,19,-2,945
"364",95894,22,20,-2,945
"365",95895,22,19,-3,945
"366",95896,23,19,-4,945
"367",95897,34,24,-10,945
"368",95898,38,28,-10,945
"369",95899,69,45,-24,945
"370",95900,111,93,-18,945
"371",95901,108,102,-6,945
"372",95902,109,101,-8,945
"373",95903,22,19,-3,945
"374",95904,22,18,-4,945
"375",95905,22,20,-2,945
"376",95906,64,54,-10,945
"377",95907,110,95,-15,945
"378",95908,105,90,-15,945
"379",96603,19,19,0,945
"380",96604,19,19,0,945
"381",96605,20,15,-5,945
"382",96606,20,15,-5,945
"383",96607,20,12,-8,945
"384",96608,21,13,-8,945
"385",96609,15,16,1,945
"386",96610,16,16,0,945
"387",96611,21,17,-4,945
"388",96612,21,17,-4,945
"389",96613,21,19,-2,945
"390",96614,23,20,-3,945
"391",96615,23,19,-4,945
"392",96616,23,19,-4,945
"393",96617,20,18,-2,945
"394",96618,20,18,-2,945
"395",96619,23,12,-11,945
"396",96620,109,90,-19,945
"397",96621,109,90,-19,945
"398",96622,38,28,-10,945
"399",96623,20,11,-9,945
"400",96624,20,10,-10,945
"401",96625,24,12,-12,945
"402",96626,24,13,-11,945
"403",96627,61,44,-17,945
"404",96628,106,94,-12,945
"405",96629,98,84,-14,945
"406",97324,18,18,0,945
"407",97325,19,14,-5,945
"408",97326,19,14,-5,945
"409",97327,20,12,-8,945
"410",97328,20,12,-8,945
"411",97329,15,15,0,945
"412",97330,16,15,-1,945
"413",97331,21,17,-4,945
"414",97332,21,17,-4,945
"415",97333,22,19,-3,945
"416",97334,23,20,-3,945
"417",97335,23,19,-4,945
"418",97336,22,20,-2,945
"419",97337,20,18,-2,945
"420",97338,20,18,-2,945
"421",97339,20,9,-11,945
"422",97340,20,9,-11,945
"423",97341,20,11,-9,945
"424",97342,20,11,-9,945
"425",97343,20,11,-9,945
"426",97344,20,11,-9,945
"427",97345,20,10,-10,945
"428",97346,20,10,-10,945
"429",97347,55,36,-19,945
"430",97348,106,91,-15,945
"431",97349,101,87,-14,945
"432",98046,13,11,-2,945
"433",98047,17,13,-4,945
"434",98048,18,13,-5,945
"435",98049,20,16,-4,945
"436",98050,20,16,-4,945
"437",98051,20,17,-3,945
"438",98052,21,17,-4,945
"439",98053,21,18,-3,945
"440",98054,20,18,-2,945
"441",98055,21,18,-3,945
"442",98056,21,19,-2,945
"443",98057,20,19,-1,945
"444",98058,20,19,-1,945
"445",98059,20,18,-2,945
"446",98060,20,17,-3,945
"447",98061,20,11,-9,945
"448",98062,20,11,-9,945
"449",98063,20,7,-13,945
"450",98064,20,7,-13,945
"451",98065,20,7,-13,945
"452",98066,20,7,-13,945
"453",98067,104,83,-21,945
"454",98068,103,83,-20,945
"455",98069,98,80,-18,945
"456",98070,93,73,-20,945
"457",98767,18,17,-1,945
"458",98768,20,17,-3,945
"459",98769,20,17,-3,945
"460",98770,20,17,-3,945
"461",98771,21,17,-4,945
"462",98772,21,17,-4,945
