"","INDEX","X2000","X2087","change","EEZID"
"1",82205,83,74,-9,945
"2",82206,80,74,-6,945
"3",82924,60,51,-9,945
"4",82925,35,33,-2,945
"5",82926,149,138,-11,945
"6",82927,141,130,-11,945
"7",83644,23,20,-3,945
"8",83645,25,25,0,945
"9",83646,35,35,0,945
"10",83647,35,33,-2,945
"11",83651,128,121,-7,945
"12",83652,129,121,-8,945
"13",83653,129,121,-8,945
"14",84362,28,21,-7,945
"15",84363,27,20,-7,945
"16",84364,27,20,-7,945
"17",84365,20,20,0,945
"18",84366,21,22,1,945
"19",84367,143,136,-7,945
"20",84368,140,135,-5,945
"21",84371,148,138,-10,945
"22",84372,151,141,-10,945
"23",84373,150,140,-10,945
"24",84374,150,140,-10,945
"25",85077,13,11,-2,945
"26",85078,12,12,0,945
"27",85079,11,12,1,945
"28",85080,12,12,0,945
"29",85081,14,12,-2,945
"30",85082,16,13,-3,945
"31",85083,16,14,-2,945
"32",85084,16,14,-2,945
"33",85085,27,27,0,945
"34",85086,27,28,1,945
"35",85087,31,33,2,945
"36",85088,82,79,-3,945
"37",85091,132,123,-9,945
"38",85092,146,133,-13,945
"39",85093,130,113,-17,945
"40",85094,149,130,-19,945
"41",85095,110,90,-20,945
"42",85796,12,12,0,945
"43",85797,12,11,-1,945
"44",85798,12,12,0,945
"45",85799,11,12,1,945
"46",85800,12,13,1,945
"47",85801,14,13,-1,945
"48",85802,15,13,-2,945
"49",85803,14,12,-2,945
"50",85804,15,13,-2,945
"51",85805,26,26,0,945
"52",85806,26,28,2,945
"53",85807,28,30,2,945
"54",85808,154,155,1,945
"55",85809,155,154,-1,945
"56",85811,149,141,-8,945
"57",85812,162,151,-11,945
"58",85813,115,102,-13,945
"59",85814,142,128,-14,945
"60",85815,133,123,-10,945
"61",86516,12,12,0,945
"62",86517,11,12,1,945
"63",86518,11,12,1,945
"64",86519,12,13,1,945
"65",86520,14,13,-1,945
"66",86521,14,13,-1,945
"67",86522,14,13,-1,945
"68",86523,15,12,-3,945
"69",86524,15,13,-2,945
"70",86525,23,25,2,945
"71",86526,33,35,2,945
"72",86527,39,42,3,945
"73",86528,48,51,3,945
"74",86529,150,146,-4,945
"75",86530,139,134,-5,945
"76",86532,153,140,-13,945
"77",86533,155,141,-14,945
"78",86534,153,140,-13,945
"79",86535,150,140,-10,945
"80",86536,120,114,-6,945
"81",87236,11,12,1,945
"82",87237,11,12,1,945
"83",87238,11,12,1,945
"84",87239,11,13,2,945
"85",87240,13,13,0,945
"86",87241,13,13,0,945
"87",87242,13,13,0,945
"88",87243,16,13,-3,945
"89",87244,21,20,-1,945
"90",87245,23,24,1,945
"91",87246,27,30,3,945
"92",87247,34,37,3,945
"93",87248,37,41,4,945
"94",87249,112,112,0,945
"95",87250,156,154,-2,945
"96",87251,150,147,-3,945
"97",87253,148,139,-9,945
"98",87254,151,139,-12,945
"99",87255,113,100,-13,945
"100",87256,102,93,-9,945
"101",87956,11,11,0,945
"102",87957,12,11,-1,945
"103",87958,12,11,-1,945
"104",87959,13,11,-2,945
