"","taxonID","year_2010","taxon_name","sum_catch"
"1",600318,1366382.43699268,"Theragra chalcogramma",1366382.43699268
"2",601477,440530.802776105,"Sardinops sagax",440530.802776105
"3",600326,201143.134407768,"Merluccius productus",201143.134407768
"4",600308,134395.195120352,"Gadus macrocephalus",134395.195120352
"5",600520,106826.466652241,"Limanda aspera",106826.466652241
"6",600240,68304.6180159291,"Oncorhynchus gorbuscha",68304.6180159291
"7",600143,64388.9127970248,"Thunnus albacares",64388.9127970248
"8",604037,62030.8652758122,"Pleurogrammus monopterygius",62030.8652758122
"9",601477,56880.4692724528,"Sardinops sagax",56880.4692724528
"10",624237,53725.8523274834,"Lepidopsetta bilineata",53725.8523274834
"11",600243,53372.6975915682,"Oncorhynchus nerka",53372.6975915682
