"","taxonID","taxon_name","year_2010","eez"
"1",600090,"Cetorhinus maximus",310.795430137652,"alaska"
"2",600117,"Scomber japonicus",304.860509502723,"alaska"
"3",600142,"Thunnus alalunga",304.860509502723,"alaska"
"4",600239,"Oncorhynchus mykiss",306.483747380559,"alaska"
"5",600240,"Oncorhynchus gorbuscha",68304.6180159291,"alaska"
"6",600241,"Oncorhynchus keta",22693.9436169908,"alaska"
"7",600243,"Oncorhynchus nerka",53372.6975915682,"alaska"
"8",600244,"Oncorhynchus tshawytscha",2245.64715666275,"alaska"
"9",600245,"Oncorhynchus kisutch",7949.15122849599,"alaska"
"10",600247,"Salvelinus alpinus alpinus",304.860509502723,"alaska"
"11",600252,"Mallotus villosus",304.860509502723,"alaska"
"12",600255,"Hypomesus pretiosus",304.860509502723,"alaska"
"13",600256,"Thaleichthys pacificus",328.216128550361,"alaska"
"14",600308,"Gadus macrocephalus",134395.195120352,"alaska"
"15",600309,"Gadus ogac",304.860509502723,"alaska"
"16",600315,"Eleginus gracilis",304.860509502723,"alaska"
"17",600318,"Theragra chalcogramma",1366382.43699268,"alaska"
"18",600319,"Boreogadus saida",304.860509502723,"alaska"
"19",600502,"Sebastes entomelas",2346.02823372669,"alaska"
"20",600503,"Sebastes flavidus",2346.02823372669,"alaska"
"21",600504,"Sebastes alutus",23860.5093659116,"alaska"
"22",600509,"Ophiodon elongatus",304.860509502723,"alaska"
"23",600512,"Anoplopoma fimbria",2989.48886032113,"alaska"
"24",600514,"Hippoglossus stenolepis",1503.61405017103,"alaska"
"25",600516,"Reinhardtius hippoglossoides",3923.7235732833,"alaska"
"26",600517,"Atheresthes stomias",26097.8616573656,"alaska"
"27",600518,"Atheresthes evermanni",1448.0235739805,"alaska"
"28",600519,"Hippoglossoides elassodon",18208.7949570285,"alaska"
"29",600520,"Limanda aspera",106826.466652241,"alaska"
"30",600637,"Hexanchus griseus",310.795430137652,"alaska"
"31",600729,"Squatina californica",310.795430137652,"alaska"
"32",600751,"Carcharodon carcharias",310.795430137652,"alaska"
"33",600755,"Lamna ditropis",310.795430137652,"alaska"
"34",600898,"Prionace glauca",310.795430137652,"alaska"
"35",601520,"Clupea pallasii pallasii",304.860509502723,"alaska"
"36",601879,"Microgadus proximus",304.860509502723,"alaska"
"37",602570,"Raja stellulata",631.341112686666,"alaska"
"38",602674,"Coregonus nasus",304.860509502723,"alaska"
"39",602676,"Coregonus pidschian",304.860509502723,"alaska"
"40",602678,"Coregonus sardinella",304.860509502723,"alaska"
"41",602688,"Oncorhynchus clarkii",306.483747380559,"alaska"
"42",602691,"Salvelinus malma malma",304.860509502723,"alaska"
"43",602697,"Spirinchus starksi",304.860509502723,"alaska"
"44",602698,"Spirinchus thaleichthys",304.860509502723,"alaska"
"45",603578,"Atractoscion nobilis",304.860509502723,"alaska"
"46",603962,"Sebastes crameri",2346.02823372669,"alaska"
"47",603979,"Sebastes melanops",4387.19595795066,"alaska"
"48",603987,"Sebastes paucispinis",2346.02823372669,"alaska"
"49",603989,"Sebastes pinniger",2346.02823372669,"alaska"
"50",604032,"Hexagrammos decagrammus",304.860509502723,"alaska"
"51",604033,"Hexagrammos lagocephalus",304.860509502723,"alaska"
"52",604034,"Hexagrammos octogrammus",304.860509502723,"alaska"
"53",604035,"Hexagrammos stelleri",304.860509502723,"alaska"
"54",604036,"Oxylebius pictus",304.860509502723,"alaska"
"55",604037,"Pleurogrammus monopterygius",62030.8652758122,"alaska"
"56",604121,"Myoxocephalus polyacanthocephalus",83.1690476190538,"alaska"
"57",604122,"Myoxocephalus quadricornis",83.1690476190538,"alaska"
"58",604140,"Scorpaenichthys marmoratus",388.029557121777,"alaska"
"59",604215,"Citharichthys sordidus",1358.35525099913,"alaska"
"60",604217,"Citharichthys stigmaeus",1358.35525099913,"alaska"
"61",604236,"Embassichthys bathybius",1448.0235739805,"alaska"
"62",604237,"Eopsetta jordani",1448.0235739805,"alaska"
"63",604238,"Glyptocephalus zachirus",3736.99500255257,"alaska"
"64",604242,"Isopsetta isolepis",1448.0235739805,"alaska"
"65",604246,"Lyopsetta exilis",1448.0235739805,"alaska"
"66",604247,"Microstomus pacificus",2435.96643112321,"alaska"
"67",604248,"Parophrys vetulus",1448.0235739805,"alaska"
"68",604249,"Platichthys stellatus",1528.67119302797,"alaska"
"69",604250,"Pleuronectes quadrituberculatus",5713.73786335253,"alaska"
"70",604251,"Pleuronichthys coenosus",1448.0235739805,"alaska"
"71",604252,"Pleuronichthys decurrens",1448.0235739805,"alaska"
"72",604255,"Psettichthys melanostictus",1448.0235739805,"alaska"
"73",614290,"Thunnus orientalis",304.860509502723,"alaska"
"74",624237,"Lepidopsetta bilineata",53725.8523274834,"alaska"
"75",646941,"Coregonus laurettae",304.860509502723,"alaska"
"76",690206,"Dosidicus gigas",547.21428571371,"alaska"
"77",690283,"Crassostrea gigas",6.40000000002433,"alaska"
"78",690284,"Panopea abrupta",52.6428571429624,"alaska"
"79",690285,"Protothaca staminea",6.40000000002433,"alaska"
"80",690286,"Siliqua patula",6.40000000002433,"alaska"
"81",690429,"Patinopecten caurinus",6.40000000002433,"alaska"
"82",690621,"Paralithodes camtschaticus",12.0952380951905,"alaska"
"83",690651,"Clinocardium nuttallii",6.40000000002433,"alaska"
"84",700005,"Sebastes ruberrimus",2346.02823372669,"alaska"
"85",700030,"Raja rhina",631.341112686666,"alaska"
"86",700034,"Hemilepidotus hemilepidotus",83.1690476190538,"alaska"
"87",700043,"Chionoecetes bairdi",44.9999999999714,"alaska"
