"","INDEX","X2000","X2087","change","EEZID"
"215",91563,25,22,-3,945
"216",91564,25,22,-3,945
"217",91565,24,22,-2,945
"218",91566,24,22,-2,945
"219",91567,26,22,-4,945
"220",91568,26,22,-4,945
"221",91569,26,21,-5,945
"222",91570,27,22,-5,945
"223",91571,27,16,-11,945
"224",91572,27,15,-12,945
"225",91573,120,112,-8,945
"226",91574,118,112,-6,945
"227",91575,126,119,-7,945
"228",91576,114,110,-4,945
"229",91578,106,90,-16,945
"230",91579,105,92,-13,945
"231",91580,37,25,-12,945
"232",91581,135,131,-4,945
"233",91582,129,125,-4,945
"234",92280,21,22,1,945
"235",92281,22,22,0,945
"236",92282,24,22,-2,945
"237",92283,23,22,-1,945
"238",92284,24,22,-2,945
"239",92285,24,22,-2,945
"240",92286,26,22,-4,945
"241",92287,26,22,-4,945
"242",92288,26,22,-4,945
"243",92289,24,20,-4,945
"244",92290,25,20,-5,945
"245",92291,22,14,-8,945
"246",92292,22,14,-8,945
"247",92293,36,26,-10,945
"248",92294,80,73,-7,945
"249",92295,127,122,-5,945
"250",92296,124,118,-6,945
"251",92298,130,129,-1,945
"252",92299,136,133,-3,945
"253",92300,36,32,-4,945
"254",92301,107,102,-5,945
"255",92302,129,126,-3,945
"256",92303,81,80,-1,945
"257",93002,23,23,0,945
"258",93003,23,22,-1,945
"259",93004,24,22,-2,945
"260",93005,25,22,-3,945
"261",93006,26,22,-4,945
"262",93007,26,22,-4,945
"263",93008,26,22,-4,945
"264",93009,24,20,-4,945
"265",93010,25,20,-5,945
"266",93011,21,14,-7,945
"267",93012,21,14,-7,945
"268",93013,27,20,-7,945
"269",93014,71,61,-10,945
"270",93015,113,107,-6,945
"271",93016,110,107,-3,945
"272",93019,82,78,-4,945
"273",93020,82,78,-4,945
"274",93021,23,19,-4,945
"275",93022,130,127,-3,945
"276",93023,127,125,-2,945
"277",93024,120,118,-2,945
"278",93722,22,22,0,945
"279",93723,22,22,0,945
"280",93724,23,22,-1,945
"281",93725,24,22,-2,945
"282",93726,23,22,-1,945
"283",93727,23,20,-3,945
"284",93728,23,20,-3,945
"285",93729,24,21,-3,945
"286",93730,24,21,-3,945
"287",93731,25,14,-11,945
"288",93732,26,14,-12,945
"289",93733,26,21,-5,945
"290",93734,29,23,-6,945
"291",93735,83,79,-4,945
"292",93736,124,121,-3,945
"293",93737,121,119,-2,945
"294",93739,122,122,0,945
"295",93740,126,123,-3,945
"296",93741,43,36,-7,945
"297",93742,28,24,-4,945
"298",93743,87,82,-5,945
"299",93744,129,124,-5,945
"300",93745,112,111,-1,945
"301",94442,21,22,1,945
"302",94443,21,22,1,945
"303",94444,22,22,0,945
"304",94445,24,22,-2,945
"305",94446,23,22,-1,945
"306",94447,21,20,-1,945
"307",94448,23,20,-3,945
"308",94449,24,21,-3,945
"309",94450,24,21,-3,945
"310",94451,25,14,-11,945
"311",94452,26,14,-12,945
"312",94453,25,22,-3,945
"313",94454,25,23,-2,945
"314",94455,29,29,0,945
"315",94456,84,81,-3,945
"316",94457,121,120,-1,945
"317",94458,121,119,-2,945
