"","INDEX","X2000","X2087","change","EEZID"
"1",82205,90,89,-1,945
"2",82206,88,89,1,945
"3",82924,65,53,-12,945
"4",82925,39,43,4,945
"5",82926,160,155,-5,945
"6",82927,150,149,-1,945
"7",83644,24,27,3,945
"8",83645,27,29,2,945
"9",83646,39,44,5,945
"10",83647,37,42,5,945
"11",83651,136,127,-9,945
"12",83652,135,127,-8,945
"13",83653,135,124,-11,945
"14",84362,24,28,4,945
"15",84363,27,33,6,945
"16",84364,28,33,5,945
"17",84365,21,26,5,945
"18",84366,23,28,5,945
"19",84367,150,150,0,945
"20",84368,148,150,2,945
"21",84371,155,145,-10,945
"22",84372,157,146,-11,945
"23",84373,157,145,-12,945
"24",84374,157,145,-12,945
"25",85077,15,13,-2,945
"26",85078,16,13,-3,945
"27",85079,13,15,2,945
"28",85080,13,15,2,945
"29",85081,16,17,1,945
"30",85082,17,19,2,945
"31",85083,18,24,6,945
"32",85084,19,24,5,945
"33",85085,28,24,-4,945
"34",85086,28,25,-3,945
"35",85087,33,29,-4,945
"36",85088,80,80,0,945
"37",85091,142,131,-11,945
"38",85092,153,140,-13,945
"39",85093,133,117,-16,945
"40",85094,155,139,-16,945
"41",85095,111,94,-17,945
"42",85796,15,13,-2,945
"43",85797,15,13,-2,945
"44",85798,15,13,-2,945
"45",85799,13,16,3,945
"46",85800,14,17,3,945
"47",85801,16,19,3,945
"48",85802,15,19,4,945
"49",85803,15,21,6,945
"50",85804,17,22,5,945
"51",85805,27,23,-4,945
"52",85806,27,24,-3,945
"53",85807,29,25,-4,945
"54",85808,164,164,0,945
"55",85809,162,163,1,945
"56",85811,153,147,-6,945
"57",85812,167,157,-10,945
"58",85813,118,105,-13,945
"59",85814,149,130,-19,945
"60",85815,141,125,-16,945
"61",86516,15,16,1,945
"62",86517,14,17,3,945
"63",86518,14,17,3,945
"64",86519,15,18,3,945
"65",86520,15,19,4,945
"66",86521,16,20,4,945
"67",86522,16,20,4,945
"68",86523,16,22,6,945
"69",86524,17,21,4,945
"70",86525,26,23,-3,945
"71",86526,33,31,-2,945
"72",86527,42,42,0,945
"73",86528,52,51,-1,945
"74",86529,161,154,-7,945
"75",86530,146,140,-6,945
"76",86532,154,146,-8,945
"77",86533,159,146,-13,945
"78",86534,159,144,-15,945
"79",86535,158,144,-14,945
"80",86536,126,117,-9,945
"81",87236,13,16,3,945
"82",87237,14,17,3,945
"83",87238,14,17,3,945
"84",87239,14,18,4,945
"85",87240,14,18,4,945
"86",87241,15,19,4,945
"87",87242,15,19,4,945
"88",87243,18,22,4,945
"89",87244,21,21,0,945
"90",87245,26,22,-4,945
"91",87246,28,28,0,945
"92",87247,38,38,0,945
"93",87248,40,41,1,945
"94",87249,121,115,-6,945
"95",87250,163,158,-5,945
"96",87251,159,154,-5,945
"97",87253,154,144,-10,945
"98",87254,158,144,-14,945
"99",87255,121,109,-12,945
"100",87256,110,100,-10,945
"101",87956,13,20,7,945
"102",87957,14,20,6,945
"103",87958,15,20,5,945
"104",87959,14,20,6,945
"105",87960,14,21,7,945
"106",87961,15,21,6,945
"107",87962,16,21,5,945
"108",87963,22,21,-1,945
"109",87964,23,20,-3,945
"110",87965,25,21,-4,945
"111",87966,25,22,-3,945
"112",87967,27,22,-5,945
"113",87968,33,31,-2,945
"114",87969,84,72,-12,945
"115",87970,123,103,-20,945
"116",87971,149,137,-12,945
"117",87972,146,134,-12,945
"118",87974,151,142,-9,945
"119",87975,157,146,-11,945
"120",87976,153,144,-9,945
"121",87977,136,128,-8,945
"122",88676,13,21,8,945
"123",88677,13,21,8,945
"124",88678,15,21,6,945
"125",88679,15,21,6,945
"126",88680,15,21,6,945
"127",88681,15,21,6,945
"128",88682,16,21,5,945
"129",88683,22,21,-1,945
"130",88684,24,21,-3,945
"131",88685,24,21,-3,945
"132",88686,25,22,-3,945
"133",88687,27,22,-5,945
"134",88688,27,22,-5,945
"135",88689,162,131,-31,945
"136",88690,162,131,-31,945
"137",88691,156,142,-14,945
"138",88692,152,139,-13,945
"139",88695,141,132,-9,945
"140",88696,142,133,-9,945
"141",88697,152,143,-9,945
"142",88698,149,141,-8,945
"143",89397,18,21,3,945
"144",89398,18,21,3,945
"145",89399,18,21,3,945
"146",89400,21,21,0,945
"147",89401,21,21,0,945
"148",89402,21,21,0,945
"149",89403,22,21,-1,945
"150",89404,24,21,-3,945
"151",89405,24,21,-3,945
"152",89406,24,22,-2,945
"153",89407,24,22,-2,945
"154",89408,25,22,-3,945
"155",89409,79,78,-1,945
"156",89410,157,147,-10,945
"157",89411,151,142,-9,945
"158",89412,136,126,-10,945
"159",89413,79,78,-1,945
"160",89415,147,143,-4,945
"161",89416,149,145,-4,945
"162",89417,60,51,-9,945
"163",89418,151,146,-5,945
"164",89419,149,143,-6,945
"165",90117,18,21,3,945
"166",90118,18,21,3,945
"167",90119,21,21,0,945
"168",90120,21,21,0,945
"169",90121,21,21,0,945
"170",90122,21,21,0,945
"171",90123,22,21,-1,945
"172",90124,24,21,-3,945
"173",90125,24,21,-3,945
"174",90126,23,22,-1,945
"175",90127,24,22,-2,945
"176",90128,24,22,-2,945
"177",90129,27,23,-4,945
"178",90130,34,30,-4,945
"179",90131,151,141,-10,945
"180",90132,150,142,-8,945
"181",90136,147,145,-2,945
"182",90137,148,145,-3,945
"183",90138,30,21,-9,945
"184",90139,151,146,-5,945
"185",90140,147,143,-4,945
"186",90141,106,107,1,945
"187",90838,19,21,2,945
"188",90839,21,21,0,945
"189",90840,21,21,0,945
"190",90841,22,21,-1,945
"191",90842,22,21,-1,945
"192",90843,20,21,1,945
"193",90844,21,21,0,945
"194",90845,24,21,-3,945
"195",90846,25,21,-4,945
"196",90847,25,21,-4,945
"197",90848,25,22,-3,945
"198",90849,24,21,-3,945
"199",90850,25,22,-3,945
"200",90851,26,18,-8,945
"201",90852,118,110,-8,945
"202",90853,130,124,-6,945
"203",90854,127,121,-6,945
"204",90855,102,100,-2,945
"205",90857,147,144,-3,945
"206",90858,149,145,-4,945
"207",90859,31,22,-9,945
"208",90860,136,138,2,945
"209",90861,136,140,4,945
"210",90862,120,126,6,945
"211",91559,19,21,2,945
"212",91560,20,21,1,945
"213",91561,20,21,1,945
"214",91562,21,21,0,945
"215",91563,20,21,1,945
"216",91564,21,21,0,945
"217",91565,24,21,-3,945
"218",91566,24,21,-3,945
"219",91567,25,21,-4,945
"220",91568,25,21,-4,945
"221",91569,24,21,-3,945
"222",91570,26,22,-4,945
"223",91571,26,18,-8,945
"224",91572,26,18,-8,945
"225",91573,119,114,-5,945
"226",91574,119,114,-5,945
"227",91575,124,117,-7,945
"228",91576,112,107,-5,945
"229",91578,103,99,-4,945
"230",91579,104,101,-3,945
"231",91580,36,29,-7,945
"232",91581,136,140,4,945
"233",91582,130,136,6,945
"234",92280,20,21,1,945
"235",92281,21,21,0,945
"236",92282,22,21,-1,945
"237",92283,22,21,-1,945
"238",92284,22,21,-1,945
"239",92285,23,21,-2,945
"240",92286,25,21,-4,945
"241",92287,25,21,-4,945
"242",92288,25,21,-4,945
"243",92289,23,20,-3,945
"244",92290,24,20,-4,945
"245",92291,20,17,-3,945
"246",92292,21,17,-4,945
"247",92293,36,29,-7,945
"248",92294,79,72,-7,945
"249",92295,124,116,-8,945
"250",92296,121,113,-8,945
"251",92298,129,127,-2,945
"252",92299,136,132,-4,945
"253",92300,35,30,-5,945
"254",92301,105,105,0,945
"255",92302,129,123,-6,945
"256",92303,80,74,-6,945
"257",93002,24,23,-1,945
"258",93003,22,21,-1,945
"259",93004,22,21,-1,945
"260",93005,22,21,-1,945
"261",93006,24,21,-3,945
"262",93007,25,21,-4,945
"263",93008,26,22,-4,945
"264",93009,24,21,-3,945
"265",93010,24,20,-4,945
"266",93011,20,16,-4,945
"267",93012,20,17,-3,945
"268",93013,27,21,-6,945
"269",93014,72,66,-6,945
"270",93015,113,105,-8,945
"271",93016,110,102,-8,945
"272",93019,81,80,-1,945
"273",93020,82,81,-1,945
"274",93021,22,20,-2,945
"275",93022,131,127,-4,945
"276",93023,129,126,-3,945
