"","X","percent_change"
"1",59151,22.800328963894
"2",59154,26.5830468880203
"3",59155,28.2238988573886
"4",59156,32.019198544363
"5",59868,57.2131424258982
"6",59869,37.8656847799118
"7",59870,30.0854278198176
"8",59871,21.1017559539018
"9",59872,19.4412711265706
"10",59873,19.5320728969762
"11",59874,20.4641213299833
"12",59875,21.1411162043468
"13",59876,20.3221054682351
"14",60586,460.706406949202
"15",60587,307.885648547147
"16",60588,182.422394194194
"17",60589,60.3821701104906
"18",60590,37.9387642183054
"19",60591,28.4824709444677
"20",60592,14.7167069490862
"21",60595,15.2861523507946
"22",60596,14.6882842817279
"23",61304,2597.50836398765
"24",61305,1608.98974628233
"25",61306,841.611279445217
"26",61307,495.622893558066
"27",61308,327.569796338864
"28",61309,187.727092029685
"29",61310,104.414263579792
"30",61311,27.9168956497807
"31",61312,20.0253268586995
"32",62022,865.79724567699
"33",62023,1442.93961540896
"34",62024,2061.40478119902
"35",62025,2649.72336520165
"36",62026,1563.77574637827
"37",62027,864.10423738791
"38",62028,495.900862879833
"39",62029,309.45769889747
"40",62030,104.515233959812
"41",62031,26.3774688038893
"42",62032,14.1905806262935
"43",62033,13.6034532439843
"44",62742,541.422967904839
"45",62743,981.679166950552
"46",62744,1458.72826130994
"47",62745,1957.79923624211
"48",62746,2114.75193631275
"49",62747,1580.55171464981
"50",62748,760.21404202453
"51",62749,385.305389381754
"52",62750,145.617522672983
"53",62751,23.9258375579755
"54",62752,15.231614291116
"55",62753,14.4704522064041
"56",63463,572.65341431886
"57",63464,916.167083354723
"58",63465,1317.46747198765
"59",63466,1548.6951566581
"60",63467,2050.62725730913
"61",63468,1096.15021815887
"62",63469,442.140864101843
"63",63470,144.047379090478
"64",63471,25.2471661355079
"65",63472,15.2548841526793
"66",63473,15.1136348648842
"67",64183,274.386774841103
"68",64184,524.605278279816
"69",64185,823.474077236508
"70",64186,1080.71862243412
"71",64187,1705.74759822904
"72",64188,1302.66750863988
"73",64189,461.095306186967
"74",64190,168.082821963676
"75",64191,37.1104385446042
"76",64192,23.3994230394672
"77",64193,19.6289526728699
"78",64903,113.524093294238
"79",64904,253.657554300123
"80",64905,486.914990986809
"81",64906,732.847222462966
"82",64907,1330.55074702761
"83",64908,1226.81034485148
"84",64909,451.185680839492
"85",64910,146.200338720206
"86",64911,25.6526858142631
"87",64912,25.8184494411674
"88",65623,47.7458576505439
"89",65624,110.435384469632
"90",65625,225.504133002354
"91",65626,508.856043664527
"92",65627,978.124797747094
"93",65628,987.939862994445
"94",65629,421.275138376651
"95",65630,172.029495528511
"96",65631,26.3967326463422
"97",65632,26.8386005339755
"98",66342,13.4512117530435
"99",66343,13.6425694055655
"100",66344,40.1296694019314
"101",66345,97.4398941691146
"102",66346,309.692777575442
"103",66347,729.339917303607
"104",66348,742.352705316265
"105",66349,382.505175140555
"106",66350,180.286799592042
"107",66351,26.0489583384663
"108",66352,25.4014741964338
"109",67062,14.0981689703094
"110",67063,14.4058218496266
"111",67064,14.6902703293134
"112",67065,29.8564295943335
"113",67066,140.748089407157
"114",67067,493.36913685563
"115",67068,561.855195469773
"116",67069,306.320931347712
"117",67070,172.674611487533
"118",67071,24.7767321061871
"119",67072,21.8660021798114
"120",67782,14.736072756193
"121",67783,14.9851544515294
"122",67784,15.4834520552029
"123",67785,12.507288312977
"124",67786,46.0974627487644
"125",67787,299.121503438569
"126",67788,409.494951968499
"127",67789,257.621130563629
"128",67790,164.076292974158
"129",67791,13.9958898201368
"130",67792,15.127013596659
"131",68502,14.4640705018957
"132",68503,15.2053915779841
"133",68504,15.9669439982911
"134",68505,13.1973202274433
"135",68506,15.0357163892296
"136",68507,138.421025704457
"137",68508,256.514777821892
"138",68509,199.190062806499
"139",68510,139.483260150547
"140",68511,21.6273167725286
"141",68512,20.4752161771644
"142",69222,14.4105457650706
"143",69223,15.193667078341
"144",69224,15.8315452464501
"145",69225,13.8087961110448
"146",69226,-0.465854981680496
"147",69227,6.58385633584211
"148",69228,173.012719359858
"149",69229,122.229099237824
"150",69230,117.750488786975
"151",69231,22.8566928472353
"152",69232,25.8302315564651
"153",69943,14.9676865369796
"154",69944,15.6244900732808
"155",69945,-8.35551036943968
"156",69946,-3.95484398181422
"157",69947,16.054818067966
"158",69948,84.9587095287244
"159",69949,60.8722692658413
"160",69950,90.5193975810132
"161",69951,23.2521904135046
"162",69952,26.491728800747
"163",70663,14.6076454559746
"164",70664,15.3857869833498
"165",70665,15.4637583082075
"166",70666,15.9934039353449
"167",70667,16.2457230484788
"168",70668,15.6783250062016
"169",70669,-17.7186916950967
"170",70670,7.89323056907683
"171",70671,18.7939107295491
"172",70672,21.3858295321282
"173",71383,14.2234109269578
"174",71384,15.1518081574632
"175",71385,17.3972367314514
"176",71386,15.6985283215169
"177",71387,16.3014410690427
"178",71388,15.8990627875674
"179",71389,6.83849718712291
"180",71390,-20.9812417362064
"181",71391,13.4653883042335
"182",71392,11.7692412801044
"183",72103,13.4636346374377
