"","X","percent_change"
"1",34583,2.73547826845029
"2",34584,26.1730547519167
"3",34585,28.5221548559121
"4",35300,7.53805699339749
"5",35301,4.27159028925321
"6",35302,-0.236757512798997
"7",35303,3.49079044744444
"8",35304,8.72652797959627
"9",35305,8.98589168403122
"10",35306,11.2344937849072
"11",35307,9.28801040053618
"12",35308,16.1994018018378
"13",36018,13.3775518856875
"14",36019,1.56699448408193
"15",36020,2.68963335175562
"16",36021,2.1624389672317
"17",36022,-0.611125192941963
"18",36023,1.97417420055918
"19",36024,2.80260915200161
"20",36025,3.52060537424388
"21",36026,4.81072286164563
"22",36027,3.89861499710613
"23",36028,1.41029596646078
"24",36029,-2.13331764618703
"25",36031,13.8906504890693
"26",36032,1.05729637296644
"27",36033,9.04388387467709
"28",36034,7.76517084228888
"29",36035,121.644549431651
"30",36036,-18.5217486219554
"31",36037,-10.6430537648982
"32",36038,-16.2666927294853
"33",36039,19.3286463688887
"34",36736,9.89329915838317
"35",36737,9.18736744184333
"36",36738,6.55908334073824
"37",36739,-0.961394380671268
"38",36740,6.67666057400981
"39",36741,1.28930215867366
"40",36742,2.30486856330713
"41",36743,4.89572562306075
"42",36744,0.957797573337694
"43",36745,10.4218465268285
"44",36746,4.8040572793821
"45",36747,6.24378534553662
"46",36748,5.08404006340399
"47",36749,8.63149022417126
"48",36750,-0.660459973021624
"49",36751,-4.2311020302297
"50",36752,3.12919867446472
"51",36753,8.87682501631216
"52",36754,0.17068317979441
"53",36755,-5.90456760303615
"54",36756,-12.0027906784587
"55",36757,-11.5381541372419
"56",36758,-17.4432287502067
"57",36759,7.12982445183301
"58",37454,8.00963618343506
"59",37455,6.94024599890398
"60",37456,9.80218717021476
"61",37457,10.2296662131807
"62",37458,12.2172053248368
"63",37459,3.6363437984202
"64",37460,4.21349654256348
"65",37461,1.22138087970271
"66",37462,3.19444810849844
"67",37463,6.66669229317602
"68",37464,4.52608794747625
"69",37465,7.51784838917945
"70",37466,7.57778056842715
"71",37467,5.97195220817816
"72",37468,7.53202154072489
"73",37469,9.89133590247858
"74",37470,0.433903327397887
"75",37471,-7.24047465784246
"76",37472,-5.11469739297749
"77",37473,8.3618584426303
"78",37474,3.28327464475966
"79",37475,-7.66550895575375
"80",37476,-8.25465535711252
"81",37477,-13.7481486551714
"82",37478,-21.1498833272872
"83",37479,-50.6388760990825
"84",38172,23.5762534686628
"85",38173,16.5531229581371
"86",38174,16.4384114614831
"87",38175,13.7169919701935
"88",38176,15.4603099634472
"89",38177,12.2417335341013
"90",38178,8.78274031210952
"91",38179,4.51929178715293
"92",38180,4.89990661657575
"93",38181,-7.55019295680009
"94",38182,2.99611464139169
"95",38183,4.23081057351682
"96",38184,10.6064068924201
"97",38185,13.6872887363455
"98",38186,7.54195061914484
"99",38187,8.4516567872453
"100",38188,11.1769301557316
"101",38189,8.817820310771
"102",38190,-0.899160975941786
"103",38191,-8.33173896072868
"104",38192,3.39215799482283
"105",38193,7.13812107561414
"106",38194,15.2483164926461
"107",38195,4.2789662212695
"108",38196,-7.28239298604798
"109",38197,-15.1405398006588
"110",38890,21.1956995276258
"111",38891,18.5223005615112
"112",38892,-1.67686706380657
"113",38893,-7.09236001193078
"114",38894,-2.59996960263373
"115",38895,-1.99126812249959
"116",38896,0.188131327759097
"117",38897,-3.25757929036887
"118",38898,-8.99169864008826
"119",38899,-1.30904110817048
"120",38900,0.287115493385156
"121",38901,-2.82689242286285
"122",38902,-8.58185422148659
"123",38903,-9.71448288281018
"124",38904,-8.13517281772861
"125",38905,-6.47690023609468
"126",38906,-3.83712025155948
"127",38907,-4.98309669436953
"128",38908,-4.02254456213828
"129",38909,-3.69648812020292
"130",38910,-8.57052469093798
"131",38911,-20.3774850375846
"132",39608,-9.49707204407789
"133",39609,-7.75721044495832
"134",39610,-6.07592144241817
"135",39611,-3.64663575102045
"136",39612,-0.623092349518478
"137",39613,-5.23574679388733
"138",39614,0.613234159803681
"139",39615,0.258432174701049
"140",39616,-0.299778318392107
"141",39617,-0.79214606182194
"142",39618,-4.4486070544349
"143",39619,1.12080684422218
"144",39620,-3.36062431591693
"145",39621,-2.0947612993896
"146",39622,-7.25083830282557
"147",39623,-6.5200877887073
"148",39624,-5.67642775589651
"149",39625,-3.69628950845718
"150",39626,-4.22023502865642
"151",39627,-7.38420276862845
"152",39628,-4.2113504552625
"153",39629,-2.3027351777868
"154",39630,-10.0680838906671
"155",40326,6.47826522607072
"156",40327,-1.84044211575193
"157",40328,-6.07406737144569
"158",40329,-8.6747514929923
"159",40330,-7.45873771894503
"160",40331,-8.68066712350798
"161",40332,-2.7165841065183
"162",40333,-3.35825708992692
"163",40334,-1.49520688498934
"164",40335,0.1282476140677
"165",40336,-1.61602698783303
"166",40337,-0.534233038921444
"167",40338,0.634129332169455
"168",40339,4.0342628037047
"169",40340,-0.0215555540058703
"170",40341,-1.57576809009368
"171",40342,-2.95609083619369
"172",40343,-5.01631066646624
"173",40344,-2.2111188994699
"174",40345,1.00704960556549
"175",40346,-7.73098639550527
"176",40347,-3.03351129961763
"177",40348,-6.93021874915607
"178",40349,-9.66041536214341
"179",41044,5.27030387048068
"180",41045,2.51424504531192
"181",41046,1.29266518301812
"182",41047,-3.91638257205098
"183",41048,-4.5036899118971
"184",41049,-8.8474592018633
"185",41050,-5.41500695029687
"186",41051,-6.87431375541219
"187",41052,-2.95142420264011
"188",41053,-5.80976223375258
"189",41054,-2.57404054135011
"190",41055,1.37507946511033
"191",41056,-2.38538349260363
"192",41057,-1.05008527023038
"193",41058,-0.842324371805066
"194",41059,2.3423781396842
"195",41060,2.67124849574191
"196",41061,1.11683442930539
"197",41062,-0.523685977703807
"198",41063,-5.29733786021706
"199",41064,-7.06392807071287
"200",41065,-2.19743341438647
"201",41066,-6.10717712370133
"202",41067,-3.64981419268338
"203",41068,-3.53120343862912
"204",41069,-6.43694483442975
"205",41070,-5.27021455036441
"206",41098,-10.5252489641932
"207",41099,-13.2989168844226
"208",41100,-11.540520046009
"209",41101,-32.3863717623146
"210",41102,-1.32575077986209
"211",41104,-2.50255752244794
"212",41105,-3.81319323445974
"213",41106,-3.29222665679788
"214",41107,-10.7254423578283
"215",41108,-10.4347679889655
"216",41762,-5.02620146654804
"217",41763,-8.87931326899108
"218",41764,-2.48011468003521
"219",41765,-1.33403298049756
"220",41766,-0.648091942589449
"221",41767,-6.01349267871646
"222",41768,-3.44923813000845
"223",41769,-6.28134690414191
"224",41770,-4.84377708005589
"225",41771,-8.46030010383876
"226",41772,-5.28438481101359
"227",41773,-3.24656137636789
"228",41774,-1.22660644678963
"229",41775,-1.71402856386944
"230",41776,-5.6196553381724
"231",41777,-3.84993022272388
"232",41778,0.808298184564791
"233",41779,3.60351498250457
"234",41780,0.511515564336505
"235",41781,0.360726454591032
"236",41782,-1.2178459089982
"237",41783,-2.34092109764879
"238",41784,-5.49342942494882
"239",41785,-1.27884693225282
"240",41786,-5.64755361168827
"241",41787,-4.88680656373828
"242",41788,-5.7211682875177
"243",41789,-4.84020387106204
"244",41790,0.765412106497502
"245",41791,-6.4133374366397
"246",41816,-15.5055947398708
"247",41817,-12.7491300501036
"248",41818,-11.1950164103565
"249",41819,-9.01702351882042
"250",41820,-4.11701553227232
"251",41821,-28.8812218592816
"252",41822,-14.607664762697
"253",41823,10.0960389143212
"254",41824,-6.80423635607831
"255",41825,-9.02259061823137
"256",41826,-11.4509336560087
"257",41827,-9.56887684029226
"258",41828,-7.49128223625434
"259",41829,-8.72694154175432
"260",42481,Inf
"261",42482,41.9340035420742
"262",42483,-7.78942242123258
"263",42484,-5.34747086417355
"264",42485,-0.165703755094552
"265",42486,-4.54132544820925
"266",42487,-8.15248990030614
"267",42488,-7.0595788745137
"268",42489,-5.77053718785401
"269",42490,-7.69204915085778
"270",42491,-10.8775629507151
"271",42492,-6.66868794874259
"272",42493,-4.1847757589251
"273",42494,-3.68295488872911
"274",42495,-2.61286393648563
"275",42496,-2.24755128983877
"276",42497,-2.66291247606003
"277",42498,-0.327496966550883
"278",42499,4.05178089128086
"279",42500,1.04227751285328
"280",42501,-1.31955521638651
"281",42502,-0.889586181708304
"282",42503,-0.949215944423817
"283",42504,-4.35611623680068
"284",42505,-5.42627271457801
"285",42506,-0.182459653465629
"286",42507,-2.28943719915242
"287",42508,-6.57689096203048
"288",42509,-0.569753784604895
"289",42510,2.36005734328133
"290",42511,-0.451172031861134
"291",42512,-2.66421791532479
"292",42516,25.8955963409084
"293",42535,-5.00355490310973
"294",42536,-9.27174402046651
"295",42537,-8.97174853820085
"296",42538,-5.70150065585579
"297",42544,-0.545641316496949
"298",42545,-2.97943799601916
"299",42546,-8.81856274499186
"300",42547,-11.4379679934173
"301",42548,-12.2709918252977
"302",42549,-9.48273917610291
"303",42550,-12.870129109003
"304",42551,-14.7867457817995
"305",42552,-15.9350417237042
"306",42553,-0.66086182411571
"307",42554,2.59860386413825
"308",42555,-8.96603737821498
"309",42556,-21.6386780884587
"310",42557,-21.4566191708682
"311",42558,-6.88675787660316
"312",42561,-15.0271797596695
"313",42562,-13.7317177484922
"314",43201,Inf
"315",43202,26.0521768517561
"316",43203,-11.4143902583621
"317",43204,-2.07959762453538
"318",43205,-4.60966227604596
"319",43206,-6.19397171276242
"320",43207,-9.37137246219167
"321",43208,-5.41612503299309
"322",43209,-6.05612713162757
"323",43210,-7.48513586619967
"324",43211,-12.8418419294767
"325",43212,-6.57895820634139
"326",43213,-2.03446339937041
"327",43214,-1.03835758434092
"328",43215,-3.70442943875121
"329",43216,-2.31252341208566
"330",43217,-0.270458684312823
"331",43218,1.11672677732141
"332",43219,1.93642575494666
"333",43220,0.977851515301298
"334",43221,-0.864110676943938
"335",43222,-3.96269573944045
"336",43223,-2.02798831492234
"337",43224,-3.55110936674284
"338",43225,-4.55632858925612
"339",43226,-1.5219537287806
"340",43227,-0.804684936004043
"341",43228,-1.82727182037088
"342",43229,-1.37663132923544
"343",43230,3.00487950548954
"344",43231,-0.448987528126449
"345",43232,0.305910329631334
"346",43233,-1.62134368867768
"347",43234,-3.97967529828648
"348",43235,-0.702516444755231
"349",43236,6.15976502496164
"350",43237,-0.753747006153517
"351",43253,-8.99908765156034
"352",43254,-7.63911376143438
"353",43255,-7.69675631123945
"354",43256,-9.75852604734289
"355",43257,-9.87367824934873
"356",43258,-6.36909278106793
"357",43259,-7.90125858100081
"358",43260,-6.21196621812323
"359",43261,-18.2069815109785
"360",43262,-10.83839661262
"361",43263,-11.8105920699647
"362",43264,-6.33859147597133
"363",43265,-9.55534337797174
"364",43266,-12.5255957018633
"365",43267,-13.5364724491025
"366",43268,-17.2061851521218
"367",43269,-12.2341505820608
"368",43270,-7.82658142089907
"369",43271,-9.22795681270748
"370",43272,-15.3186171648811
"371",43273,-7.79096874929784
"372",43274,-2.93456473407383
"373",43275,-17.4040722371773
"374",43276,-26.9498841359891
"375",43277,-32.4485290977999
"376",43278,-26.1557530009324
"377",43279,-5.92176169835461
"378",43280,-10.9769938674711
"379",43281,-12.5014769480026
"380",43282,-10.0638700834225
"381",43922,-32.3103190964058
"382",43923,-45.3085154736274
"383",43924,-3.35931025611676
"384",43925,-2.21378236559259
"385",43926,-8.4520338757373
"386",43927,-13.128791412345
"387",43928,-6.89519646228269
"388",43929,-9.64479152777669
"389",43930,-6.61395296903663
"390",43931,-9.43032681683995
"391",43932,-6.06718396344339
"392",43933,-2.76700691020675
"393",43934,-4.17606176256097
"394",43935,-1.82503343462855
"395",43936,-4.36690672578565
"396",43937,-3.47029032639153
"397",43938,-1.26746544345426
"398",43939,1.50868438863388
"399",43940,-0.552310106023885
"400",43941,0.84899025817685
"401",43942,0.587766372399944
"402",43943,-1.08761364033911
"403",43944,-4.48068446039553
"404",43945,-4.82850699586479
"405",43946,-0.410832367606662
"406",43947,-0.260279994119173
"407",43948,0.928526294513946
"408",43949,1.75899439763375
"409",43950,0.997720874629062
"410",43951,0.206029177901874
"411",43952,1.55379745288558
"412",43953,1.16879615918221
"413",43954,0.276341044297906
"414",43955,-1.4074938458112
"415",43956,4.07913222725132
"416",43957,0.517958102335971
"417",43959,1.26713047363141
"418",43960,3.33481742102571
"419",43972,1.00818242771721
"420",43973,-5.37966106141327
"421",43974,-5.65648849148637
"422",43975,-6.67567182809468
"423",43976,-6.8821128358038
"424",43977,-9.97677489552843
"425",43978,-8.35521951423643
"426",43979,-8.05072006144782
"427",43980,-9.23040612737715
"428",43981,-15.4778797858718
"429",43982,-10.8712910876668
"430",43983,-11.5417869009186
"431",43984,-10.2778256026793
"432",43985,-11.4424309879875
