"","X","percent_change"
"1",82205,-43.045168335256
"2",82206,-41.2796621737386
"3",82924,-16.0716045725385
"4",82925,-13.3344974172913
"5",82926,-28.851125881662
"6",82927,-24.160922293947
"7",83644,-87.8381495839218
"8",83645,-9.87643131120527
"9",83646,-1.76940081370209
"10",83647,5.4599356404626
"11",83651,-6.89824056827076
"12",83652,-7.02523696172604
"13",83653,-7.35312536070002
"14",84362,-86.0108378421485
"15",84363,-83.2993262550677
"16",84364,-81.3234234588889
"17",84365,24.2163583278739
"18",84366,24.4315836522013
"19",84367,4.81127589800951
"20",84368,5.5589025969728
"21",84371,-5.97550143266676
"22",84372,-11.6990061065324
"23",84373,-10.3389151125863
"24",84374,-16.6380840729979
"25",85077,27.7013112723468
"26",85078,30.2382599506945
"27",85079,30.4867370494349
"28",85080,28.4544784201436
"29",85081,23.5117952852826
"30",85082,23.741218845238
"31",85083,20.5826602242296
"32",85084,20.5078272247876
"33",85085,24.1901474910808
"34",85086,25.3748381427095
"35",85087,116.013491140165
"36",85088,8.14415668317489
"37",85091,-5.65986124590843
"38",85092,-11.6190118656674
"39",85093,-20.9638213382729
"40",85094,-19.1771421511519
"41",85095,-14.9827865084324
"42",85796,26.1446260405636
"43",85797,27.8097040147956
"44",85798,29.5058427845062
"45",85799,30.1217997553967
"46",85800,28.770422626888
"47",85801,23.28539030728
"48",85802,23.36901461493
"49",85803,20.3605526925667
"50",85804,20.6524408421644
"51",85805,24.6972181046834
"52",85806,56.7074708133781
"53",85807,117.912191302787
"54",85808,4.32085578136408
"55",85809,3.12404209045681
"56",85811,-7.58132443198031
"57",85812,-13.7738350476738
"58",85813,-5.37990645232716
"59",85814,-16.812261332893
"60",85815,-21.3325218792521
"61",86516,25.7205045155654
"62",86517,25.9774946574135
"63",86518,27.0066936208466
"64",86519,28.1167462117176
"65",86520,28.5068417249281
"66",86521,23.1138320039287
"67",86522,23.4553832915288
"68",86523,22.8419110187978
"69",86524,26.9873427859339
"70",86525,33.8918230043933
"71",86526,57.2054483676626
"72",86527,15.8743790221408
"73",86528,22.794216234239
"74",86529,9.77666423238342
"75",86530,0.337858651375122
"76",86532,-20.7655937316571
"77",86533,-18.7603418845232
"78",86534,-22.070216192016
"79",86535,-21.0563886274944
"80",86536,-35.6089269580551
"81",87236,26.178346525795
"82",87237,26.0150032965215
"83",87238,26.5339976892298
"84",87239,26.5687297526927
"85",87240,27.5644803920443
"86",87241,22.5129823262192
"87",87242,22.7730742818179
"88",87243,23.2131460088459
"89",87244,91.9941575352719
"90",87245,37.637069885258
"91",87246,179.896584888407
"92",87247,30.3828697237032
"93",87248,32.8200361529879
"94",87249,15.9446900318175
"95",87250,3.32500536671781
"96",87251,-3.46965973243377
"97",87253,-18.9645928727916
"98",87254,-19.6449375634079
"99",87255,-19.4981135216903
"100",87256,-16.9945290240843
"101",87956,27.8070462249081
"102",87957,25.6264623058225
