"","X","percentage_change"
"1",34583,-5.46707002225433
"2",34584,-0.754370521039434
"3",34585,-0.787931526505907
"4",35300,6.30191280874169
"5",35301,8.47118606408066
"6",35302,0.215364455688195
"7",35303,0.700356596668624
"8",35304,4.27730351018636
"9",35305,-0.0176157007273949
"10",35306,5.69218821130587
"11",35307,11.5362343065966
"12",35308,-0.698409009110526
"13",36018,8.92495827912392
"14",36019,11.5041042969874
"15",36020,6.10215749837649
"16",36021,2.85811005438738
"17",36022,0.0991297061301402
"18",36023,1.28621747198952
"19",36024,7.19155992121066
"20",36025,7.52356847578291
"21",36026,7.57753356763187
"22",36027,6.85635747724249
"23",36028,3.43399214928263
"24",36029,25.0745745397829
"25",36031,0.523876904296059
"26",36032,19.3630274419228
"27",36033,15.5660014157675
"28",36034,58.4931523396032
"29",36035,149.02386297642
"30",36036,-4.77154739821776
"31",36037,-6.23231247264444
"32",36038,14.3654558326167
"33",36039,20.2792391646535
"34",36736,6.92400957396037
"35",36737,5.75500871036049
"36",36738,11.0480770398195
"37",36739,15.2899118198909
"38",36740,10.8844743337815
"39",36741,3.99979054359204
"40",36742,4.75129325567266
"41",36743,5.56550932940273
"42",36744,11.0782381862671
"43",36745,10.5449659816169
"44",36746,13.915765826738
"45",36747,8.71945108812313
"46",36748,11.52113598551
"47",36749,12.1310099704426
"48",36750,19.4604471060138
"49",36751,5.07897130558193
"50",36752,11.934923546711
"51",36753,27.6536939479906
"52",36754,12.8782030560209
"53",36755,-1.28529756217819
"54",36756,-4.97574081493263
"55",36757,-2.84204565297154
"56",36758,0.767875735410919
"57",36759,103.464214408278
"58",37454,6.84629170861781
"59",37455,3.60612744487998
"60",37456,5.08225640797523
"61",37457,5.23916370392021
"62",37458,16.859508505982
"63",37459,2.88678806292759
"64",37460,4.38153875439725
"65",37461,4.46698611139827
"66",37462,9.07055340045617
"67",37463,7.6189727930578
"68",37464,16.2579216601094
"69",37465,15.4115951951829
"70",37466,8.5789609794832
"71",37467,11.7220842080045
"72",37468,10.8382485635813
"73",37469,7.10661804363248
"74",37470,14.4916069679524
"75",37471,11.7087795923769
"76",37472,10.86475552506
"77",37473,26.2039251654744
"78",37474,14.1856123654197
"79",37475,4.02594711523718
"80",37476,-5.12356951728644
"81",37477,-14.7012303326277
"82",37478,2.74453967038516
"83",37479,24.0575858185936
"84",38172,12.5873223955873
"85",38173,9.96241826417984
"86",38174,10.9890562886903
"87",38175,5.10401782247573
"88",38176,13.3826519873286
"89",38177,12.105447074272
"90",38178,10.9061104036479
"91",38179,4.65760601662578
"92",38180,5.76765889352795
"93",38181,4.70683674959153
"94",38182,14.7291816837913
"95",38183,11.7720583420993
"96",38184,16.2682002300815
"97",38185,16.5425578016383
"98",38186,10.8460962390528
"99",38187,9.78067551181498
"100",38188,9.74252928216271
"101",38189,19.6939239064668
"102",38190,20.118452518607
"103",38191,14.6462263410393
"104",38192,14.4063834502065
"105",38193,6.71983220818134
"106",38194,21.4908798764397
"107",38195,13.6845542159522
"108",38196,7.68228820192218
"109",38197,75.2678054430636
"110",38890,10.7574318773867
"111",38891,17.5104335552209
"112",38892,8.75789103625974
"113",38893,6.11015591884146
"114",38894,8.09825240788226
"115",38895,6.59438072417664
"116",38896,14.2868996615811
"117",38897,10.5498611379616
"118",38898,7.14664889169231
"119",38899,2.29867123861649
"120",38900,3.83021396091602
"121",38901,9.30842203510165
"122",38902,10.5106703481302
"123",38903,8.88186789560587
"124",38904,13.6509419159016
"125",38905,13.1276660581924
"126",38906,9.44179522337857
"127",38907,4.28640482139933
"128",38908,3.27523862089529
"129",38909,12.5418027632184
"130",38910,16.806512807926
"131",38911,0.376067588024896
"132",39608,10.3165095847493
"133",39609,11.7414159176445
"134",39610,5.97511124576893
"135",39611,10.5164541159622
"136",39612,5.46547435136964
"137",39613,8.02614698732245
"138",39614,6.45052480815687
"139",39615,8.43171686139465
"140",39616,12.7391803591524
"141",39617,13.8210629578851
"142",39618,13.0792683664209
"143",39619,1.86208063780096
"144",39620,8.46817733954487
"145",39621,17.8484876881197
"146",39622,10.3142272594881
"147",39623,6.46900612679712
"148",39624,15.572688303482
"149",39625,16.6219277150456
"150",39626,9.28372836920612
"151",39627,8.33764096601437
"152",39628,6.88480382322446
"153",39629,15.499507090178
"154",39630,18.3167949485627
"155",40326,21.0460527782324
"156",40327,15.3900595441463
"157",40328,12.4863549911739
"158",40329,7.27877540239573
"159",40330,6.34876064718246
"160",40331,10.1252447987986
"161",40332,8.53039890847915
"162",40333,9.93754670966345
"163",40334,8.39851901934624
"164",40335,9.15535368601433
"165",40336,9.55404804006995
"166",40337,15.201110769828
"167",40338,14.1947367559633
"168",40339,9.03559554194251
"169",40340,15.319793483866
"170",40341,11.9437044919036
"171",40342,5.20591823835448
"172",40343,9.62657340326266
"173",40344,18.7167471610992
"174",40345,14.9515419636184
"175",40346,10.6749852837639
"176",40347,11.301646139634
"177",40348,8.69987431046721
"178",40349,7.33751798436241
"179",41044,24.5732887062235
"180",41045,35.8397842821584
"181",41046,22.1951394449315
"182",41047,16.6254862227312
"183",41048,12.5486929295539
"184",41049,15.2159033071454
"185",41050,5.65779526903857
"186",41051,9.40570044920305
"187",41052,11.0073191300961
"188",41053,14.0573004643377
"189",41054,9.81167890190813
"190",41055,8.37309087517617
"191",41056,9.62099117645704
"192",41057,15.8222724816224
"193",41058,16.6628085943041
"194",41059,12.4584207073763
"195",41060,12.1255536222324
"196",41061,14.9148750446196
"197",41062,12.8679339909614
"198",41063,11.6898062357277
"199",41064,16.1132474691902
"200",41065,12.5660334669099
"201",41066,10.9468087728272
"202",41067,16.0809918777958
"203",41068,9.04982434179002
"204",41069,10.7127698707877
"205",41070,7.96768297355486
"206",41098,1.63024609884016
"207",41099,-7.71380033934343
"208",41100,-6.1378927030272
"209",41101,-5.25683825593292
"210",41102,-2.47094545789555
"211",41104,7.95885374740863
"212",41105,7.78544460071641
"213",41106,-4.47275709710114
"214",41107,10.1579022531026
"215",41108,0.325315572719294
"216",41762,45.7752511204133
"217",41763,27.4825395138234
"218",41764,19.8843106073869
"219",41765,23.3648909000889
"220",41766,20.8532570365721
"221",41767,16.2967123691104
"222",41768,13.3923223100291
"223",41769,11.2078858121708
"224",41770,5.43487377999174
"225",41771,9.60565043313899
"226",41772,13.4355312065874
"227",41773,13.2050382485607
"228",41774,10.6746331972671
"229",41775,8.2454252798332
"230",41776,10.1017594768766
"231",41777,14.4261618532809
"232",41778,14.1435751256953
"233",41779,14.1553812284529
"234",41780,10.6759707388939
"235",41781,15.9631917508419
"236",41782,14.3570093090574
"237",41783,12.6411596817737
"238",41784,10.6202630272297
"239",41785,10.514426348874
"240",41786,8.51656899717527
"241",41787,11.8820746065892
"242",41788,10.2300743713862
"243",41789,12.6664262334238
"244",41790,11.3367998541153
"245",41791,9.50172061260034
"246",41816,-10.6441090622054
"247",41817,-4.79742325216425
"248",41818,2.07010802923339
"249",41819,0.116546679151295
"250",41820,-4.41756123809544
"251",41821,-3.71678161709339
"252",41822,-2.34464489166254
"253",41823,21.2115337874214
"254",41824,7.64312846167203
"255",41825,8.41416624201174
"256",41826,15.0781964080897
"257",41827,8.44835527843112
"258",41828,-1.67377346854641
"259",41829,-5.76405677721964
"260",42481,100
"261",42482,70.2800249407877
"262",42483,31.0223782198203
"263",42484,19.582696100584
"264",42485,20.8157470003236
"265",42486,18.8134003990632
"266",42487,13.9016257705121
