"","X","percent_change"
"1",59151,34.6751123859514
"2",59154,44.5911960091858
"3",59155,57.3118464308697
"4",59156,51.7932524647666
"5",59868,22.8124761904257
"6",59869,25.2303019356009
"7",59870,29.2465140058047
"8",59871,30.3011148036183
"9",59872,32.223098396601
"10",59873,30.9081077471595
"11",59874,30.0832238223738
"12",59875,32.6824432580677
"13",59876,33.4886595076129
"14",60586,-1.10561402553627
"15",60587,-7.76445036544247
"16",60588,-10.6726547121815
"17",60589,28.3103835375595
"18",60590,34.7234938192359
"19",60591,19.2545696874909
"20",60592,35.4241147252322
"21",60595,24.8005884823872
"22",60596,25.9790345804338
"23",61304,8.57422963509934
"24",61305,7.09013724119389
"25",61306,4.4073976254886
"26",61307,-0.516424106969959
"27",61308,-8.66925849503433
"28",61309,-8.72272295030051
"29",61310,108.447045859906
"30",61311,17.6651568272517
"31",61312,32.7361034412829
"32",62022,12.0971044519137
"33",62023,12.0047069252129
"34",62024,11.9191117020003
"35",62025,11.1016154483243
"36",62026,8.54778509053972
"37",62027,5.43355596049201
"38",62028,-0.00579173818733796
"39",62029,-6.77788281885462
"40",62030,105.803492801178
"41",62031,26.0874496165719
"42",62032,31.9881387024316
"43",62033,36.6597311676773
"44",62742,13.2977266994096
"45",62743,13.5028438978609
"46",62744,13.8110072499489
"47",62745,13.465713717972
"48",62746,11.5952404128895
"49",62747,9.39394411984017
"50",62748,5.77788545443641
"51",62749,1.36621159993314
"52",62750,4.65772284224905
"53",62751,36.1180425152106
"54",62752,35.8865918939111
"55",62753,32.9424174456475
"56",63463,14.5187031736381
"57",63464,14.7601655448834
"58",63465,14.6633755211492
"59",63466,12.7775808634353
"60",63467,11.8582078828236
"61",63468,9.57284680984594
"62",63469,6.29650714701
"63",63470,46.1876639931707
"64",63471,46.3440212457017
"65",63472,41.8874089928854
"66",63473,42.9141569299291
"67",64183,14.8372057764566
"68",64184,14.9383234544506
"69",64185,14.5614466114117
"70",64186,12.706311510588
"71",64187,12.7019357140435
"72",64188,11.4748111557085
"73",64189,8.69753161224567
"74",64190,7.76322694349499
"75",64191,77.7339544550964
"76",64192,50.411173840137
"77",64193,54.9348703821865
"78",64903,14.7562763457259
"79",64904,15.1721393008032
"80",64905,16.1007931796003
"81",64906,13.3107307312875
"82",64907,13.1963425638654
"83",64908,12.4235765646874
"84",64909,10.2951377485764
"85",64910,39.4645583360223
"86",64911,77.2425096403162
"87",64912,65.1757327069019
"88",65623,14.4191359153723
"89",65624,14.8134663501851
"90",65625,12.0753421938473
"91",65626,13.2866731265224
"92",65627,12.9716533192218
"93",65628,12.3232429429668
"94",65629,10.1404489020731
"95",65630,70.9093275754752
"96",65631,76.592503633942
"97",65632,65.2971801777161
"98",66342,12.7059520011711
"99",66343,12.9380355046342
"100",66344,13.1398353111467
"101",66345,10.9152916778938
"102",66346,11.7749895660726
"103",66347,12.0583968821811
"104",66348,11.2878135068345
"105",66349,9.07549543715746
