"","X","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019","X2020","X2021","X2022","X2023","X2024","X2025","X2026","X2027","X2028","X2029","X2030","X2031","X2032","X2033","X2034","X2035","X2036","X2037","X2038","X2039","X2040","X2041","X2042","X2043","X2044","X2045","X2046","X2047","X2048","X2049","X2050","percent_change"
"1",34583,742.344576317865,743.643573000585,739.880437932679,739.525652216623,703.465527042317,696.866955217886,691.947362146272,684.204018301508,677.449291231579,667.161958172745,660.344581879775,653.540227856236,646.447321194962,641.143861337861,636.514261917949,631.329578971316,625.944825334488,621.724587423551,616.953732661605,613.87958876712,613.947158146713,613.096640686402,612.240915980484,608.780050563496,634.097807988472,632.590816589425,604.236878088515,598.304131335032,600.123939468804,598.74412324209,598.120412683823,596.109525043862,592.466852429546,597.297665749286,596.242305936471,596.920608269765,596.321567045333,590.867380308086,590.201859553416,592.456329034874,594.986161101151,595.988991888659,599.589985283331,602.378641356911,603.546818938657,609.981399809737,640.051997658191,651.945825487112,662.202827863388,680.850499144626,701.76007852416,-5.46707002225433
"2",34584,626.571217964101,632.279963991585,627.172300463759,626.908362378298,622.868238691739,620.802500532372,616.276510488485,612.906817003503,613.147508163415,601.84221844581,595.876473025072,590.717959026903,580.188329591027,582.185132406672,583.460980942631,582.028109915028,567.65547647119,564.892972409234,561.45427511813,559.001094447179,562.68695536676,562.299003896001,559.954587125313,556.257923061892,555.69305459683,549.245001032151,523.461515461369,515.224444529579,515.184329234282,514.087249242126,514.39716939512,508.834508267294,507.202325678644,505.024632944569,501.053865074746,501.028949750716,508.251885326281,502.182778248152,500.635062603815,503.47528705256,504.324027277155,506.561900980469,516.462687159855,521.101139303316,520.669115831406,528.915777592211,556.720442034162,569.640555529897,578.792538727526,597.972601180777,621.844549402462,-0.754370521039434
"3",34585,485.654206679329,491.78855989071,490.13669707915,491.933387850773,489.539565130098,489.99082061269,493.174474250437,492.179070515031,493.3463909562,484.426989987403,479.153728886196,475.38173802059,471.794355444051,471.947032705041,476.123948353353,476.846083153406,470.626602015918,467.635800520515,466.472872488623,464.694889630934,466.417476620736,463.477450924386,458.114324358607,452.00082097955,448.403361954399,441.405077182142,437.590138270352,434.148515291134,436.999473283816,435.901550206832,436.620858175241,414.648747980044,408.67056459879,409.032636046587,404.81266738193,403.958453751013,404.092444272692,401.507829778441,400.050028112366,403.796936261625,401.435775476583,416.409940693804,427.885819343767,432.018856986913,433.639591006176,443.12666777432,441.072237254357,455.438845389093,461.9446647491,479.556925864692,481.8275840751,-0.787931526505907
"4",35300,746.189623772974,742.804352794557,739.56209756684,741.645460077315,741.918142898128,746.048286773031,750.008909405998,749.489807266853,742.209830888965,737.864120583886,732.535136854202,730.051494734261,723.63161563229,713.072078379525,705.615934876604,702.571322524989,700.48972649335,701.76749885556,700.87864909992,699.239360131542,704.824804559454,709.458117320204,712.229284336414,709.898073375175,705.427898035925,700.709647385427,694.504415321732,695.666809217638,702.310217567588,701.101456130799,701.04442392374,698.528958362444,700.925166946286,711.149834969211,718.221439404757,723.035117695416,725.313750850784,721.976762209898,722.626061001531,724.519351762146,728.074055003188,730.188272961917,730.766437029,720.673611503458,727.496750367791,731.537504440068,736.189437687209,741.492108430131,751.001827346167,769.415924965929,793.213843251024,6.30191280874169
"5",35301,762.031159912311,761.598630742877,761.46954276654,762.305861237907,760.663569366645,762.632432245209,765.935881451747,764.865479647253,756.703590914983,751.606459705665,746.068116816469,740.698113691288,705.547652253255,690.681802738747,679.436509087246,703.864017815995,705.746401712891,708.895342319818,705.680951417967,703.774301705612,702.615700897163,702.954602169936,701.534342321051,695.976301301853,692.086090929035,685.031081629455,678.162041155989,677.991258498584,684.183083223532,683.288794158499,681.534838048867,681.762910816791,711.292328308948,723.53902616914,733.28295578901,738.867975897814,740.832474499471,735.508548209928,731.469201289946,736.84413709014,741.861207077804,744.620711544724,747.60828720185,747.604745878551,753.110488960076,761.82337429758,768.756962111593,772.469358743234,781.846932487071,800.816736698848,826.584237334755,8.47118606408066
"6",35302,789.458710281739,790.431592345884,756.856035458623,753.698945845717,753.239191276845,753.881350652919,755.555886133722,755.178646865426,745.351155676332,740.044282542595,734.116937400975,728.464269163536,731.576245339066,715.044148341188,706.931337978484,735.058359569433,736.959789059593,738.830617932645,733.681929434556,734.202465770966,729.741754222385,729.046293109556,758.084645704913,751.007366969042,743.516489412026,737.711717762046,732.731256984996,729.843881356184,736.911656361488,733.962179261994,733.552155802094,731.392947511469,730.396176107556,738.789044351084,744.911781057185,748.313944133204,748.895539163183,742.747669797473,745.949747089356,745.842731973261,748.984070916323,748.078789462259,751.858437380498,758.538723164247,764.986560859495,771.749625868085,739.26802033252,736.844924112948,744.666856952573,762.766916225876,791.15892373602,0.215364455688195
"7",35303,844.941822858634,847.676242364917,849.284459781244,852.789712432454,858.676637592834,856.955651916162,856.72729907449,847.132138710736,835.678451760119,827.853492760991,821.400907744035,814.628869700501,806.646183564981,796.660459362879,791.599422369093,786.995707495634,783.516113100362,782.943217462542,773.817079038351,775.101385994369,772.133317553564,771.661311908625,768.366959193793,761.094933572511,748.825558223389,744.944814929048,744.888288081296,744.020558177838,749.310747298916,746.841421489164,746.376960534249,746.249573129159,746.187373861762,751.361265097486,754.935537764133,755.811335532158,756.689139118817,751.449020646071,757.17848282867,753.8921576719,758.021536502545,758.494115853387,754.522661968454,761.768443929153,767.853002593306,774.873903235291,776.052958443691,786.335316424947,799.230390177073,821.49309129345,850.859428653036,0.700356596668624
"8",35304,802.164246669043,814.807139630275,808.454679962524,813.96223033364,814.627646498659,814.960075265544,815.477981473634,810.841241714112,806.647622262373,797.324900626856,791.019029327882,783.337433672903,775.383859660788,770.176636864878,767.284223385429,765.72313294994,760.19456676841,764.008472136674,754.823076346029,753.328683528811,754.202486703633,753.419934435437,743.105419606843,738.307679516792,731.48380636245,724.913500830923,724.370097684475,720.078726071195,722.266579729692,720.197939565063,720.306608716068,719.526832401864,717.923650531843,720.464276641844,721.685146776451,721.997113081081,723.673675466374,720.015692518807,721.574298435334,724.373605770572,726.577804368981,728.622624557622,743.595403954502,744.910093565028,750.076207175933,758.65845113804,760.084113890567,770.171694917725,780.206018000939,805.292950233463,836.475246149278,4.27730351018636
"9",35305,733.246670270623,747.460391449246,745.971202418011,751.587674066219,752.520891237045,755.154217441606,757.985954959217,757.376702732811,756.429465332437,747.938713292703,740.432472817399,735.114077254573,732.239586571889,729.587037140969,729.35013055572,728.717355548616,723.892478191114,722.744784162949,717.982593574368,717.27892830985,717.213675595718,702.339831938458,694.401516535588,680.5019286471,669.757206856479,664.233339102019,657.594895869424,656.365427059943,659.209540075677,656.579546834174,657.577392257362,658.285473758353,652.501652882011,654.023092754523,653.323095691191,653.177794941593,653.111483929244,648.215947228163,648.650775302559,651.486204341829,654.524570639914,672.381774488204,684.331550024801,693.195145863302,701.928798557119,709.167337692001,715.739244192762,721.782195828116,733.166022762878,757.920230069186,733.117503731594,-0.0176157007273949
"10",35306,652.842777792598,656.685605862095,660.219058404937,666.709695600131,669.56377345408,666.737238223569,667.182479667263,666.336760469455,663.417402561745,647.277243880111,647.259427794727,645.625586143137,641.983658438984,636.701314709635,646.047164531023,647.795879819278,645.714388004823,645.825745154884,645.772392841524,646.145556569217,642.571751376073,641.937359062788,636.323371027346,634.187660045919,626.254938311015,626.712961818791,625.656126105613,626.91354584557,631.073414396273,636.901496176719,631.837494155515,621.16791560315,614.770821770055,616.724008172985,613.005616435745,612.332842372373,611.92485935718,606.879118666436,607.314601980867,608.020448988813,612.995688102737,615.40854604228,618.856547348011,613.083583204119,618.292768281767,623.655900475407,627.781755536043,633.229688873243,642.248581316166,664.809570180049,690.00381742847,5.69218821130587
