"","X","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019","X2020","X2021","X2022","X2023","X2024","X2025","X2026","X2027","X2028","X2029","X2030","X2031","X2032","X2033","X2034","X2035","X2036","X2037","X2038","X2039","X2040","X2041","X2042","X2043","X2044","X2045","X2046","X2047","X2048","X2049","X2050","percent_change"
"1",59151,2104.39914863652,2131.86055300616,2147.39981435348,2158.92746946364,2180.41789606398,2191.31593934182,2206.80053352914,2207.18227083605,2209.84585130367,2220.15446277616,2240.46046899777,2190.5337629388,2174.66818017745,2163.26123925716,2147.36062377307,2143.08974303257,2145.02993154978,2145.39081437688,2136.57269310715,2127.01922055372,2131.35090151337,2132.35147497072,2133.51154915512,2137.75232596237,2133.51002324078,2143.68925077148,2147.79229232776,2152.42737162354,2145.30094789516,2130.91648730555,2121.03949731091,2173.33245640507,2177.18507184099,2173.50613605301,2171.3997034711,2169.21544525234,2171.44189547165,2175.55963339692,2174.76850158095,2175.35181915142,2172.69837978467,2160.63343695713,2158.3553002424,2159.61224780803,2160.18765129847,2156.46710295892,2155.09433349223,2147.99385044775,2152.26691148973,2169.2586274745,2187.87713049019,3.96683214340539
"2",59154,2397.90954006106,2421.6328588095,2446.87957039316,2476.31412431597,2518.6645256967,2528.21351728112,2531.15099467139,2525.38879799217,2523.14803825523,2522.54838157743,2528.70800154787,2512.25211200925,2479.43299466612,2443.64457603519,2418.67065089053,2392.35741302955,2373.46476629794,2349.88709639199,2340.98271240086,2318.90344443024,2297.66907960107,2276.20894796212,2257.16853075009,2244.24659683279,2211.57286151984,2221.61199786905,2246.19258040397,2222.51410482778,2219.63622483134,2197.79238600276,2149.10565242112,2141.40784215968,2133.30445623255,2137.26084171137,2136.81687466847,2143.16784541682,2143.76435042738,2149.42539027874,2144.75156820466,2145.84849910821,2133.58574886385,2115.63055167314,2103.03705908575,2091.54208876678,2083.82441056317,2069.94595455908,2048.06863966467,2066.79820720476,2068.06173071661,2072.51640191817,2088.8550799883,-12.8884953710507
"3",59155,2101.10182850895,2125.66583173718,2147.64818196261,2174.23409267263,2224.56401813751,2236.57036217183,2236.22624640655,2228.39651539107,2229.25647671694,2232.59436661221,2244.01979520423,2225.43417149535,2192.09707404915,2157.9961986437,2133.94687717004,2110.11000647948,2092.2696543845,2056.72514857145,2016.08359357594,1990.34371375288,1977.2410458982,1956.53017986029,1939.54764912396,1924.85024382231,1893.71914234519,1902.40767799063,1924.29020020138,1940.08457356312,1940.88996718957,1927.05226611979,1892.05675838509,1892.62649486338,1893.53324392096,1905.47648580777,1913.26720443079,1921.05336980108,1924.22093569281,1932.91978031233,1933.49479394644,1936.69404286742,1926.8152316365,1912.42906238151,1899.37517193673,1887.67185977112,1880.9567264866,1867.39689119582,1847.02105528194,1827.98769985438,1825.0323360719,1824.4530324808,1832.17698130253,-12.799229602178
"4",59156,703.11812249312,712.394272937809,720.62763377974,728.678127002325,740.540787993749,746.296818750755,746.030800109345,746.095759459781,749.207976542782,733.649799124284,721.854590375536,709.150919803764,696.587138394641,684.349894173989,674.044309354501,663.612642550291,656.075138351008,644.421637247186,633.132567049484,623.969037835537,619.764854000683,613.55341400121,610.631575686683,609.038351161229,603.071151207077,605.905317785194,614.977574772664,621.310629860783,625.611375555979,638.144071884002,638.710394696872,644.814823449968,650.322174580313,654.548921736496,657.575377317078,661.069262395671,661.930083477421,664.245555610131,664.414429041258,662.959027149492,657.613822816336,652.098944227579,645.055328622213,641.954808208894,638.59713378361,632.563409100074,625.293021480132,617.757022630393,610.717249727943,610.455662095484,614.084022471203,-12.6627514173891
"5",59868,1705.5981679432,1716.66817402426,1727.06445606928,1732.80867766514,1741.5947263461,1746.28875946702,1754.58330741113,1759.38710022156,1765.44847506054,1771.90055343556,1772.5134946281,1765.66897239521,1755.28836067751,1745.94959506527,1735.61257546912,1737.86580109311,1741.04058369985,1745.94999765342,1751.25704160709,1753.03149372392,1760.7319751199,1767.90697552521,1772.62410878385,1782.83030052336,1784.58452270808,1797.1857558455,1810.3299427861,1819.16386712932,1820.32460657236,1811.93393835776,1808.56435332479,1821.9652461246,1819.98380550467,1816.55036023618,1808.26520214336,1801.85922760388,1799.74447124067,1807.88511532431,1797.73381478774,1794.86875345042,1794.29802633009,1784.91141763896,1779.22015665182,1777.0925291637,1771.53393087893,1771.42735097712,1764.20054006616,1753.13562994297,1749.63454407638,1762.00072661169,1773.91045976744,4.00518088657544
"6",59869,2489.0954230424,2509.44885735396,2526.77411416085,2532.16774959021,2553.31866285022,2566.11062500547,2585.00753570114,2590.82787811171,2599.32452954355,2610.41506546468,2619.84952433389,2615.34147195666,2612.62528532497,2610.25768134244,2606.67965184685,2612.44641292371,2618.80232084116,2629.05761998149,2636.37435157746,2642.98324538652,2656.41915011482,2664.09414818123,2671.31023668375,2689.22724192567,2688.89359707383,2700.21059071513,2702.84521274423,2697.67516728254,2686.71836080878,2670.54967051281,2664.01496322972,2672.97670212887,2655.05462997632,2639.88603013732,2620.49238085088,2612.56602939181,2618.48120553345,2631.28906576846,2624.19245486665,2625.08825266621,2625.44293379379,2611.40175630483,2604.24190177218,2600.88662060097,2595.83553898428,2602.70753341578,2601.32175737605,2602.22682001962,2610.84449672156,2634.03781571695,2651.24055906034,6.51421936326351
"7",59870,2756.43190439445,2782.6925560106,2804.03894923851,2817.05741616359,2841.20969443979,2858.36389663981,2880.80495529874,2888.399502812,2899.74356720368,2965.65019888693,3000.01358256052,3012.39467880686,3017.69534613051,3025.96389870039,3020.34770814204,3030.43420338883,3040.11993908247,3053.13125632235,3060.33013467228,3068.47140562498,3084.24706667699,3091.22115539786,3098.74928192644,3110.7646927714,3110.9350561004,3123.12697763542,3123.62262683102,3110.85827060787,3088.83639656466,3065.27406582451,3056.48880929455,3064.34832054365,3046.67765877162,3029.60651996377,3015.03881008763,3005.67480681884,3008.8069992718,3023.51921557786,3017.43178430987,3019.45076259324,3020.640772138,3007.35025207179,3001.14963075078,3001.24131975517,2995.6723381848,2999.83766588514,3001.61874182351,3009.25820239543,3029.66117175404,3061.70141955811,3082.86785409772,11.8426995850271
"8",59871,2771.15692664803,2806.43069413605,2827.51935642587,2843.30287029676,2868.93360624116,2887.56268573346,2912.94542923686,2920.23147552225,2931.58904058201,3015.20821878674,3062.94778478112,3085.12996310854,3086.60831092803,3093.91002593574,3084.49250522579,3094.79185248328,3104.67498230084,3119.96442790869,3123.98606607125,3131.63366651219,3146.42137816808,3150.71006900934,3157.18621819722,3166.29412787893,3165.77709415137,3180.02043099942,3191.05991663594,3178.45232610566,3156.36575706264,3132.07921796906,3128.38172544022,3138.52879372963,3126.0767561973,3111.18325174776,3104.11685746788,3097.43519835064,3101.76384611758,3112.65332075335,3112.45957933374,3116.23365284787,3119.07227640885,3107.01393404637,3103.80051089533,3102.71908109616,3099.28502972191,3098.55295340918,3089.11254498412,3102.69674614931,3122.36213923191,3154.41063085622,3177.26735229283,14.6549053840855
"9",59872,1943.44845951123,1959.31655111519,1979.55080691009,1998.12465917971,2022.99703690362,2041.52416806075,2042.1819488993,2051.05437829696,2064.52064053574,2036.10530085674,2042.14243763148,2047.82636415432,2052.07338227983,2052.06510283282,2051.0606487398,2053.87185746806,2060.20165766502,2060.9015945135,2069.60253616938,2078.72349543796,2085.83547940501,2080.15657921983,2082.78513256304,2089.4633663055,2083.74550350508,2088.64714863363,2115.84619293934,2107.8520230133,2094.32356491067,2145.61670022576,2142.56492908482,2098.8999146431,2085.40673384419,2086.61214607416,2087.57385341526,2090.62680823582,2090.77052190271,2103.95394419387,2103.61772133082,2106.91707242341,2098.4458487655,2092.20075055686,2078.78720393838,2074.54982955964,2068.56052010246,2062.99870241799,2048.7856372666,2057.54316528401,2071.21223935783,2085.31055167679,2105.0498541262,8.31518807839195
"10",59873,1297.29398666791,1306.97028322362,1320.10931430658,1331.00117969459,1352.278966313,1362.22965836711,1364.90261101765,1371.08399594612,1379.05142230234,1384.5010500997,1380.81770675616,1375.5130606777,1371.77742760638,1368.55992804185,1363.7458526113,1363.12185260372,1362.54489324495,1361.79960781626,1364.37839023967,1366.86682658923,1368.66349683539,1363.70592971777,1361.0436751842,1362.34147854426,1350.56401925329,1353.5648781091,1366.4800117802,1379.82592544089,1376.13778951671,1351.33726233219,1336.47027818469,1322.84543790588,1313.21373655627,1308.92708747622,1304.82264444041,1302.69801871974,1300.18970979864,1306.22826734686,1302.77587891954,1301.50927068305,1295.73887355368,1288.66452715007,1281.05413968291,1275.9509961946,1271.73805135475,1267.49342122035,1258.00369043667,1242.89992150505,1245.74161478455,1277.62575187411,1297.10607799999,-0.0144846634494942
