"","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019","X2020","X2021","X2022","X2023","X2024","X2025","X2026","X2027","X2028","X2029","X2030","X2031","X2032","X2033","X2034","X2035","X2036","X2037","X2038","X2039","X2040","X2041","X2042","X2043","X2044","X2045","X2046","X2047","X2048","X2049","X2050"
"38172",0.0166733159989235,0.0165948304345888,0.0156955300219391,0.0152197385363064,0.014646933537388,0.0140053617239222,0.0133216246589084,0.0125944105621252,0.0118202042631056,0.0110187286347319,0.0101831205728103,0.00933154701930445,0.0084471614485475,0.00752195657202576,0.00657306826868774,0.00562579326208192,0.00465707048656535,0.00370076436106395,0.00273937300005556,0.00176596567462658,0.000810056353079388,-2.54886996925441e-13,-2.54886996925441e-13,-2.54886996925441e-13,-2.54886996925441e-13,-2.54886996925441e-13,-2.54886996925441e-13,-2.54886996925441e-13,-2.54886996925441e-13,-2.54886996925441e-13,-2.54886996925441e-13,-2.54886996925441e-13,-2.54886996925441e-13,-2.54886996925441e-13,-2.54886996925441e-13,-2.54886996925441e-13,-2.54886996925441e-13,-2.54886996925441e-13,-2.54886996925441e-13,-2.54886996925441e-13,-2.54886996925441e-13,-2.54886996925441e-13,-2.54886996925441e-13,-2.54886996925441e-13,-2.54886996925441e-13,-2.54886996925441e-13,-2.54886996925441e-13,-2.54886996925441e-13,-2.54886996925441e-13,-2.54886996925441e-13,-2.54886996925441e-13
"38173",0.0198416508737864,0.0198939482316817,0.0197743631590741,0.019539632863658,0.019201187054218,0.0188111514489494,0.0184040277487855,0.0173677489519186,0.0162973756422065,0.0152149296332234,0.0141371790461756,0.0130311056761338,0.0118955553859585,0.0107245083710401,0.0095289030759001,0.00835845399410192,0.00717799395829885,0.00602581300216306,0.00538465914746824,0.00458299357899553,0.00382264034131929,0.00309992403652335,0.00240466187613052,0.00176937207441213,0.00117703418563953,0.000590166950710691,5.45406601826226e-14,5.45406601826226e-14,5.45406601826226e-14,5.45406601826226e-14,5.45406601826226e-14,5.45406601826226e-14,5.45406601826226e-14,5.45406601826226e-14,5.45406601826226e-14,5.45406601826226e-14,5.45406601826226e-14,5.45406601826226e-14,5.45406601826226e-14,5.45406601826226e-14,5.45406601826226e-14,5.45406601826226e-14,5.45406601826226e-14,5.45406601826226e-14,5.45406601826226e-14,5.45406601826226e-14,5.45406601826226e-14,5.45406601826226e-14,5.45406601826226e-14,5.45406601826226e-14,5.45406601826226e-14
"38174",0.0271392084825493,0.0268296306580157,0.02644454476384,0.025968211742068,0.0254027947133104,0.0248441230399288,0.0241197099576437,0.0227093155583453,0.0213009054905543,0.0199149101619214,0.0185641628717601,0.01718516321462,0.0157969865646058,0.0143810813680214,0.0129408050888008,0.0115468801694295,0.0101535380404417,0.00880092144383735,0.00743229217545679,0.00606821035985209,0.00490745069805947,0.0038901719007811,0.00297265795865494,0.0021604737889563,0.00142270072894186,0.000702079717041638,8.42815400803332e-15,8.42815400803332e-15,8.42815400803332e-15,8.42815400803332e-15,8.42815400803332e-15,8.42815400803332e-15,8.42815400803332e-15,8.42815400803332e-15,8.42815400803332e-15,8.42815400803332e-15,8.42815400803332e-15,8.42815400803332e-15,8.42815400803332e-15,8.42815400803332e-15,8.42815400803332e-15,8.42815400803332e-15,8.42815400803332e-15,8.42815400803332e-15,8.42815400803332e-15,8.42815400803332e-15,8.42815400803332e-15,8.42815400803332e-15,8.42815400803332e-15,8.42815400803332e-15,8.42815400803332e-15
"38890",0.0270352038809506,0.0271677250371773,0.0273947099670844,0.0276112555465328,0.0277940613489189,0.0280660630271766,0.0283995460219674,0.0287814829001814,0.0291514343540423,0.0293971739149039,0.0293966054516626,0.0292215105622038,0.0278161010164678,0.0263473227296184,0.0248462234105338,0.0233994212583547,0.0219755670944305,0.0205303060840428,0.0190581690431737,0.0176232183321604,0.0162342873762595,0.0148423233154311,0.0133588952610245,0.0119300179405,0.0105512964166051,0.00908462249463034,0.00751678412391206,0.00586353740606408,0.00417962584865267,0.00260301099964394,0.00122780200981979,-3.53184669010798e-13,-3.53184669010798e-13,-3.53184669010798e-13,-3.53184669010798e-13,-3.53184669010798e-13,-3.53184669010798e-13,-3.53184669010798e-13,-3.53184669010798e-13,-3.53184669010798e-13,-3.53184669010798e-13,-3.53184669010798e-13,-3.53184669010798e-13,-3.53184669010798e-13,-3.53184669010798e-13,-3.53184669010798e-13,-3.53184669010798e-13,-3.53184669010798e-13,-3.53184669010798e-13,-3.53184669010798e-13,-3.53184669010798e-13
"38892",0.0225799225692754,0.0214667573499878,0.0203603891790033,0.0193030631679733,0.0182861846759155,0.0172872896074054,0.0162755194273764,0.0152373724936811,0.0141672245626441,0.0130832121561498,0.0119532817052479,0.0108122507204725,0.00966311538382566,0.00845717508670245,0.00721119808272048,0.00599798684456624,0.00478729938602521,0.00358462498240072,0.00236521499321642,0.0011653690111887,-7.46621514613466e-14,-7.46621514613466e-14,-7.46621514613466e-14,-7.46621514613466e-14,-7.46621514613466e-14,-7.46621514613466e-14,-7.46621514613466e-14,-7.46621514613466e-14,-7.46621514613466e-14,-7.46621514613466e-14,-7.46621514613466e-14,-7.46621514613466e-14,-7.46621514613466e-14,-7.46621514613466e-14,-7.46621514613466e-14,-7.46621514613466e-14,-7.46621514613466e-14,-7.46621514613466e-14,-7.46621514613466e-14,-7.46621514613466e-14,-7.46621514613466e-14,-7.46621514613466e-14,-7.46621514613466e-14,-7.46621514613466e-14,-7.46621514613466e-14,-7.46621514613466e-14,-7.46621514613466e-14,-7.46621514613466e-14,-7.46621514613466e-14,-7.46621514613466e-14,-7.46621514613466e-14
"38893",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38894",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38895",0.0320753033665824,0.0321848008501884,0.0323256433807162,0.0324073456599252,0.0324733569691147,0.0324345959748084,0.0322390459527784,0.0319935902101245,0.0316106217900507,0.0311434706666472,0.0294787796573122,0.0278265953368408,0.0261843451300246,0.0244686001853257,0.0227048796284826,0.0209986416661144,0.0193178452425135,0.0176677789883801,0.0159937199483922,0.0143638796030976,0.0127799168481924,0.0112249835270892,0.00962189167002991,0.00811209921422119,0.00662237548675246,0.00519670784015778,0.00379143631559401,0.00241829470685728,0.00116016845045678,-5.0219203795443e-14,-5.0219203795443e-14,-5.0219203795443e-14,-5.0219203795443e-14,-5.0219203795443e-14,-5.0219203795443e-14,-5.0219203795443e-14,-5.0219203795443e-14,-5.0219203795443e-14,-5.0219203795443e-14,-5.0219203795443e-14,-5.0219203795443e-14,-5.0219203795443e-14,-5.0219203795443e-14,-5.0219203795443e-14,-5.0219203795443e-14,-5.0219203795443e-14,-5.0219203795443e-14,-5.0219203795443e-14,-5.0219203795443e-14,-5.0219203795443e-14,-5.0219203795443e-14
"39608",0.0433871486351563,0.0430010709083871,0.0428294099639195,0.0427054156731519,0.0426557596058141,0.04265692652443,0.0427179973662154,0.0420413702935823,0.0417519735457965,0.0415058316800789,0.0411043965824971,0.0405971583201735,0.0401010699718167,0.0398357316699171,0.0406319289923222,0.0411847696889888,0.0416890334676757,0.0422465184898074,0.042702907517431,0.0432382485383256,0.0426705677223522,0.0424359549721203,0.0421871830302772,0.0421277096168015,0.042171155479685,0.0422246700377967,0.0422927521691908,0.0430356225152808,0.0434898447969534,0.0436413622134671,0.0438234165469263,0.0439109008941471,0.0442152849460481,0.0443713917026962,0.0445675409608819,0.0448856637081474,0.045267945399705,0.0455761193719692,0.0457778805102457,0.0460593463640532,0.0445857891906586,0.0427754965679434,0.0408499695494005,0.0387945533011792,0.0367158956910776,0.034547169331798,0.0321977059916577,0.0298655760979997,0.0274286154646327,0.0251677487108086,0.0229364760507196
"39609",0.0325133409940463,0.0326421850915961,0.0328713015353679,0.0330884841996373,0.033305262575452,0.0335998631984663,0.0339412773416938,0.034381328687331,0.0348124104691391,0.0332000892049267,0.0315229622139654,0.029821694597348,0.0280978983572911,0.0263154194052792,0.0245048399403568,0.022771313367223,0.0210626355815102,0.0193317844555976,0.0176056988993393,0.0158838444674226,0.0142214324871892,0.0125839978505906,0.010858968804292,0.00918499771343199,0.00755793700069845,0.00582948053557803,0.00399522591527134,0.00201712310482971,-7.21245979606877e-15,-7.21245979606877e-15,-7.21245979606877e-15,-7.21245979606877e-15,-7.21245979606877e-15,-7.21245979606877e-15,-7.21245979606877e-15,-7.21245979606877e-15,-7.21245979606877e-15,-7.21245979606877e-15,-7.21245979606877e-15,-7.21245979606877e-15,-7.21245979606877e-15,-7.21245979606877e-15,-7.21245979606877e-15,-7.21245979606877e-15,-7.21245979606877e-15,-7.21245979606877e-15,-7.21245979606877e-15,-7.21245979606877e-15,-7.21245979606877e-15,-7.21245979606877e-15,-7.21245979606877e-15
