"","X","deltachange"
"362",82199,0
"363",82200,0
"364",82201,0
"365",82202,0
"366",82203,0
"367",82204,-1.0000000000005
"368",82205,-1.0000000000003
"369",82206,-1
"370",82913,0
"371",82914,0
"372",82915,0
"373",82916,0
"374",82917,0
"375",82918,0
"376",82919,0
"377",82920,0
"378",82921,-1.0000000000001
"379",82922,-1.0000000000004
"380",82923,0
"381",82924,0
"382",82925,0
"383",83633,0
"384",83634,0
"385",83635,0
"386",83636,0
"387",83637,0
"388",83638,0
"389",83639,0
"390",83640,0
"391",83641,0
"392",83642,-1.00000000000064
"393",83643,0
"394",83644,-1.00000000000051
"395",84354,0
"396",84355,0
"397",84356,0
"398",84357,0
"399",84358,0
"400",84359,0
"401",84360,0
"402",84361,0
"403",84362,0
"404",84363,-1.0000000000001
"405",84364,-1.0000000000004
"406",85076,0
"407",85077,0
"408",85078,0
"409",85079,0
"410",85080,0
"411",85081,0
"412",85082,0
