"","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019","X2020","X2021","X2022","X2023","X2024","X2025","X2026","X2027","X2028","X2029","X2030","X2031","X2032","X2033","X2034","X2035","X2036","X2037","X2038","X2039","X2040","X2041","X2042","X2043","X2044","X2045","X2046","X2047","X2048","X2049","X2050"
"49780",31.4508478373777,31.5416290373145,31.5074467563413,31.4876865434498,31.5926863648973,31.7054476871549,31.7586178004387,31.6628447996377,31.6779589942415,31.6896378011575,31.6787034021417,31.7383598616771,31.8320331586559,31.804617794888,31.7620295447431,31.7403414020651,31.655613984712,31.4832958372967,31.2473687271561,30.9843284909907,30.8446363419359,30.5713804274974,30.4518787695978,30.3845577859911,30.3103501616568,30.2201846558432,30.2478835024418,30.4258031933501,30.5936981364888,30.6579779086642,30.7329121827752,30.723200825305,30.5163170321268,30.4216421182904,30.4368289289971,30.4786048396259,30.5670766727831,30.5375528537832,30.5553109600405,30.815085505273,30.8707911198624,30.9391794078517,30.8733485722077,30.6909889732427,30.4685642169734,30.2986526782144,30.0562433787848,29.665334928234,29.2978777418571,29.1667189113446,28.753983141787
"50494",59.5127072416664,59.4100256792555,59.3328867048844,59.2826883274855,59.2539720353409,59.1832314433875,59.1435563291667,59.1241695632337,59.1208423193447,59.1991761937277,59.3113745767389,59.4458889881193,59.4333070738896,59.4015176548019,59.3207937408089,59.220283427618,59.0492310936974,58.8072120882057,58.5093205509991,58.2295056452171,57.9047160817863,57.6803591346773,57.4332252317367,57.3352979319792,57.2274572021452,57.2321877349475,57.3019913791248,57.292638302367,57.224262234953,56.8229664364763,56.3099728304545,55.720657278743,55.3046473639995,54.9540585994227,54.6201160307864,54.2635567851442,53.8395776233789,53.4274005698885,53.1116295549918,52.6791029603201,52.2412949815046,51.6309755782464,50.9910159686631,50.1773528458509,49.3827979451125,48.5416832621729,47.6254864092449,46.792829798431,46.0067442409807,45.3974701488293,44.8716926215958
"50495",57.6240463140668,57.5599557431461,57.5094445878606,57.4490216541424,57.4733842854729,57.4914125691393,57.5275015750965,57.4868568888596,57.4791424767862,57.5345065182623,57.6043465796362,57.7034891101703,57.7181194494138,57.6981036781182,57.6462247103471,57.549969557747,57.3764627180288,57.1310139808676,56.7882172219732,56.4778970675278,56.1849379432512,55.8697222621795,55.6226812193946,55.4986767980815,55.4029208068948,55.3721985852533,55.4348086575299,55.5388803062465,55.6443433632378,55.1699211235353,54.7532876877793,54.2609065267344,53.9132891541895,53.6103948567939,53.3792042788555,53.1929965371757,52.8899460783558,52.6134932992457,52.4070529553782,52.1355452316898,51.7692530360331,51.2947377026451,50.7214967894119,50.039482051162,49.3396579333668,48.6214823769374,47.8512310969642,47.0885487903697,46.3437515670508,46.0634231046409,45.6793716737937
"50496",60.7111298548669,60.6585319862633,60.6220609449499,60.6005833140498,60.6444051902646,60.7300476844872,60.7988112271075,60.7688346726156,60.7468980463906,60.7927513523751,60.831987388341,60.9210646181511,60.9589656763073,60.9704050545087,60.9047962755537,60.7832960576838,60.618231431622,60.3873864774944,60.0142329711965,59.6264972551366,59.2691744432559,58.9094521697211,58.605175231031,58.458945426544,58.3621954872085,58.302550503151,58.3650146690241,58.5208555417407,58.6254497589404,58.4357693420202,58.1618896795198,57.764405964021,57.5267893184319,57.2752732233767,57.1462832921538,57.0304935907067,56.8628783478199,56.6267996837338,56.5201137564317,56.3907474304378,56.1175431814961,55.7176804761745,55.2822613610937,54.6841346304956,54.0694040427741,53.4252389497884,52.7356499578414,51.9989620689844,51.3623821090778,50.8909578917582,50.5043337336081
"50497",67.1623682304697,67.2149727093565,67.1734101563138,67.1880530184908,67.265455161811,67.2981642515211,67.413182222826,67.3026827500475,67.3074540430297,67.3242337618491,67.3903651636171,67.57726213481,67.6001121279097,67.5593920056168,67.4813234205412,67.366222055056,67.1685158539894,66.9154721672758,66.5324210583996,66.0340064593692,65.6378274351755,65.1661007127533,64.833577892199,64.5838799104411,64.4064804790543,64.3187927920905,64.3401208769251,64.542786569669,64.6886159136104,64.700334419535,64.7121714728528,64.5991517867355,64.2768005362033,64.0472391102568,63.9313346844109,63.9176950140583,63.9257926310813,63.8666598472935,63.7891872222668,63.948441321926,64.016550236461,63.903938586632,63.6987973042804,63.2185027125114,62.6975897324231,62.1220675716008,61.4967933747671,60.7007704534312,59.9648984756369,59.4648408255843,58.7490978789789
"50498",67.2768720730459,67.3480512906709,67.3403237007069,67.3583533719774,67.4718929646441,67.5590893714746,67.6970071277059,67.5558771698748,67.5428459321071,67.5563729689393,67.6085557423873,67.7987587937751,67.8408169997036,67.7580727416279,67.710078352131,67.601102722759,67.3996232135847,67.1185701118237,66.6871897847738,66.2333270273686,65.8173035918336,65.3460889058057,64.9840271054295,64.7251911011956,64.5244921794544,64.3898742252899,64.4031978011104,64.6295184145967,64.7897510849888,64.8859929726312,64.9789936987889,64.9695826525783,64.6906652507556,64.5203564120019,64.4274658544489,64.4699006521746,64.5432979545675,64.6041752849417,64.5685441806276,64.7650329577532,64.8982164145877,64.9884738976611,64.7988924782412,64.3976325614491,63.9369384446552,63.4488468773465,62.887967650219,62.1349539806561,61.4520827687265,60.9324506528901,60.1869429220928
"50499",59.9342180701304,59.9912471176354,60.0207710420668,60.0317737837622,60.1640331230434,60.2862909375408,60.4312758309205,60.2659314467347,60.254164724769,60.2618753010318,60.3074282219613,60.4686893852286,60.5228746966389,60.4318962396982,60.4037700355921,60.3096237445341,60.1396538471745,59.8854889165821,59.4877412203735,58.9754076499744,58.6048811160554,58.1865327351394,57.8402565188129,57.6244736980303,57.4633603233432,57.3315287801388,57.3445143348577,57.5793321092926,57.7613517065267,57.8514156798782,57.9680261957761,58.0111848081412,57.7338068507724,57.6085325200728,57.5390864575343,57.6242677182775,57.7197244218798,57.7188323457245,57.7406858760545,58.0766525582684,58.2366753764026,58.3025636375266,58.1664911318321,57.8273389638849,57.4485127976582,57.0477389919748,56.5926685800496,55.9441269310385,55.3321267693924,54.9349491801089,54.233565855234
"50500",47.5310333273748,47.6360226340785,47.6148157602852,47.615894422603,47.7657881458536,47.8984699363586,48.0143395549817,47.8429278477946,47.8416903524154,47.8684674651052,47.8722454745036,48.0230334323928,48.090689496421,48.0079452313998,47.9908856131238,47.9287175862727,47.7912871555459,47.5782831299041,47.27044996807,46.8674365215772,46.5493444646112,46.2007819466933,45.9461417851188,45.7990225510586,45.6975653559684,45.6158546242425,45.6236207781854,45.8674027490651,46.0388449334371,46.1203065224558,46.2528114416215,46.2635226381832,45.9955761092022,45.9244966942865,45.8481177931152,46.0013525654115,46.0474192925563,46.0242941550118,46.0150895063527,46.3586197985222,46.5098426466922,46.567235982295,46.5722859108445,46.3210702892179,46.021855397482,45.7394503733924,45.4030548938653,44.900029700322,44.4232997586865,44.1242101247459,43.517016024224
"51213",48.7834233330657,48.7310613029729,48.6697309817303,48.6229619161595,48.5695194720344,48.4647384528382,48.3782320185739,48.3179522164743,48.2961456039345,48.3513793170821,48.4397531293071,48.5602791919747,48.5402602029088,48.5292670966771,48.4772804397854,48.3803263749704,48.2362137641877,48.0454581573804,47.812974435442,47.5815797244441,47.3557020881933,47.1339325474229,46.95863240623,46.8352732174862,46.7624888465815,46.7428815078567,46.8108638500601,46.8376202567174,46.7313696945998,46.4827216541382,46.1257300821692,45.6787656392965,45.3449013757241,45.0211675855458,44.7134609526101,44.3930433309941,44.0287058644623,43.6843039037507,43.41090383404,43.0463521582586,42.6015428296073,42.1389168883984,41.6263121026484,41.0194265247407,40.3627362330458,39.6567723095409,38.9003699774006,38.1475609496996,37.4827955827963,36.8485105182417,36.2936895420059
"51214",55.0581631919249,55.0080839886684,54.9330834167795,54.8998211423616,54.8544871669457,54.7795453344854,54.7039446825526,54.6899822578135,54.6710813931083,54.7112906171226,54.81923029818,54.9436863724248,54.9217666595828,54.8926332257779,54.8610956817079,54.7358379579395,54.5824981228692,54.3643376268977,54.0885052735088,53.8302986751737,53.5673037459011,53.3134843732947,53.1105406763014,52.996224715935,52.9095928180312,52.8762418772745,52.9749937764702,52.9927172031331,52.9458250363047,52.6914617967592,52.3345048278569,51.8862616111875,51.5707049161023,51.2729726956942,50.9967073468588,50.7429879490559,50.3924711097549,50.0978800585965,49.8504387007362,49.5117853409774,49.0940732300741,48.6283028252236,48.1029256349867,47.4361556890037,46.7833299966127,46.0729921015791,45.2915779826205,44.5375142644835,43.8626227095273,43.2666826848971,42.7436044419123
